Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	extracellular structure organization (GO:0043062)	6/216	7.590191e-04	1.492780e-02	0	0	5.984802e+00	4.299173e+01	COL1A1;APP;COL3A1;COL1A2;LUM;MFAP2
GO_Biological_Process_2021	platelet aggregation (GO:0070527)	3/36	7.681770e-04	1.492780e-02	0	0	1.861949e+01	1.335295e+02	PDGFRA;ACTB;ACTG1
GO_Biological_Process_2021	external encapsulating structure organization (GO:0045229)	6/217	7.774897e-04	1.492780e-02	0	0	5.956136e+00	4.264260e+01	COL1A1;APP;COL3A1;COL1A2;LUM;MFAP2
GO_Biological_Process_2021	positive regulation of apoptotic process (GO:0043065)	7/310	9.395750e-04	1.771770e-02	0	0	4.868129e+00	3.393126e+01	SFRP1;IGFBP3;RPS6;RPS3;RACK1;RPS27A;SOX4
GO_Biological_Process_2021	positive regulation of Wnt signaling pathway (GO:0030177)	5/153	1.030409e-03	1.875197e-02	0	0	7.024182e+00	4.831091e+01	COL1A1;SFRP1;ZEB2;GPC3;SOX4
GO_Biological_Process_2021	collagen fibril organization (GO:0030199)	4/89	1.037518e-03	1.875197e-02	0	0	9.713235e+00	6.673890e+01	COL1A1;COL3A1;COL1A2;LUM
GO_Biological_Process_2021	positive regulation of intrinsic apoptotic signaling pathway (GO:2001244)	3/40	1.047695e-03	1.875197e-02	0	0	1.660323e+01	1.139175e+02	RPS7;RACK1;RPS3
GO_Biological_Process_2021	negative regulation of translation (GO:0017148)	4/90	1.081649e-03	1.878362e-02	0	0	9.599806e+00	6.555965e+01	RACK1;RPS3;RPL13A;EIF3E
GO_Biological_Process_2021	regulation of protein neddylation (GO:2000434)	2/10	1.085038e-03	1.878362e-02	0	0	5.074490e+01	3.463918e+02	RPL5;RPL11
GO_Biological_Process_2021	skeletal system development (GO:0001501)	5/158	1.189167e-03	2.010520e-02	0	0	6.792914e+00	4.574689e+01	COL1A1;COL1A2;CDH11;RPL13;SOX4
GO_Biological_Process_2021	regulation of apoptotic process (GO:0042981)	11/742	1.199458e-03	2.010520e-02	0	0	3.241043e+00	2.179888e+01	SFRP1;NPM1;RPL10;IGFBP3;RPS6;RPS3;RACK1;RPS3A;RPS27A;PTMA;SOX4
GO_Biological_Process_2021	homotypic cell-cell adhesion (GO:0034109)	3/44	1.384259e-03	2.284027e-02	0	0	1.498039e+01	9.860976e+01	PDGFRA;ACTB;ACTG1
GO_Biological_Process_2021	regulation of cell population proliferation (GO:0042127)	11/764	1.514180e-03	2.459960e-02	0	0	3.142740e+00	2.040544e+01	RPS4X;PDGFRA;APP;RPS9;SFRP1;NPM1;RPS15A;RPL23;IGFBP3;RPS6;SOX4
GO_Biological_Process_2021	morphogenesis of a polarized epithelium (GO:0001738)	2/12	1.581045e-03	2.518572e-02	0	0	4.059184e+01	2.618039e+02	ACTB;ACTG1
GO_Biological_Process_2021	regulation of transforming growth factor beta receptor signaling pathway (GO:0017015)	4/100	1.597958e-03	2.518572e-02	0	0	8.595486e+00	5.534658e+01	ZEB2;HSP90AB1;SPRY1;RPS27A
