0	HOWT_1	HOWT_2	HOWT_3	HOET_1	HOET_2	HOET_3
AGAP3	1061	1388	1483	1275	1734	1737
AGAP4	30	44	72	51	67	62
AGAP5	99	118	179	77	102	105
AGAP6	184	334	314	342	458	473
AGAP7P	9	10	10	8	4	3
AGAP9	11	13	14	13	10	13
AGBL1	0	0	0	0	0	0
AGBL1-AS1	0	0	0	0	0	0
AGBL2	5	9	4	0	2	3
AGBL3	16	26	31	7	7	4
AGBL4	7	9	8	3	3	4
AGBL4-IT1	0	0	0	0	0	0
AGBL5	578	772	869	272	367	341
AGBL5-AS1	0	0	1	1	3	0
AGER	149	214	199	181	251	204
AGFG1	1182	1372	1380	1008	1024	1062
AGFG2	215	302	275	138	210	212
AGGF1	735	805	942	458	552	538
AGK	349	452	506	297	398	383
AGL	3275	3305	4079	3699	2447	2309
AGMAT	86	141	109	9	25	14
AGMO	2	6	2	0	0	0
AGO1	803	851	1116	385	302	308
AGO2	481	262	559	578	214	285
AGO3	297	312	459	351	289	283
AGO4	1186	1378	1682	1581	1454	1481
AGPAT1	2100	2760	3058	1674	2255	2149
AGPAT2	300	434	478	296	400	378
AGPAT3	878	1146	1249	548	709	637
AGPAT4	799	869	1076	759	794	715
AGPAT4-IT1	18	13	27	3	12	6
AGPAT5	793	849	1086	838	968	846
AGPAT6	880	1131	1280	914	1075	1049
AGPAT9	70	127	119	1657	1991	1871
AGPS	942	1146	1220	758	753	679
AGR2	6	13	11	1	1	4
AGR3	2	3	1	0	0	0
AGRN	2103	2931	3346	2568	3462	3184
AGRP	0	0	0	0	0	0
AGT	884	1361	1182	256	367	377
AGTPBP1	557	531	691	451	451	359
AGTR1	118	127	104	38	89	45
AGTR2	0	0	0	0	2	0
AGTRAP	164	263	265	122	202	159
AGXT	6	16	22	1	1	0
AGXT2	0	0	0	0	0	0
AHCTF1	468	640	765	681	609	603
AHCTF1P1	7	4	6	6	2	5
AHCY	2288	3199	3446	2124	2724	2793
AHCYL1	1453	1704	2094	4067	4790	5085
AHCYL2	791	1023	1176	688	723	722
AHDC1	1878	2736	2755	2411	3298	3136
AHI1	250	290	426	377	370	394
AHNAK	4553	5127	6642	6953	5105	4976
AHNAK2	974	742	1162	2551	2327	2290
AHR	92	131	136	484	369	411
AHRR	158	228	279	138	234	188
AHSA1	896	1283	1339	1752	2172	2104
AHSA2	1119	1657	1725	1664	2111	2105
AHSG	8457	12970	9904	3533	4774	3670
AHSP	0	0	0	0	0	0
AICDA	0	0	0	0	0	0
AIDA	254	283	300	260	275	264
AIF1	1	1	3	1	2	2
AIF1L	209	232	271	473	560	718
AIFM1	954	1273	1422	1583	2069	2040
AIFM2	223	313	294	330	433	420
AIFM3	7	7	12	2	21	8
AIG1	459	615	721	304	421	347
AIM1	12	15	15	5	0	2
AIM1L	27	50	42	52	59	45
AIM2	1	4	4	0	4	10
AIMP1	449	557	622	660	891	842
AIMP2	350	487	530	412	578	609
AIP	283	437	406	447	628	548
AIPL1	0	0	0	0	0	0
AIRE	1	2	0	2	5	5
AIRN	0	0	0	0	0	0
AJAP1	0	0	0	0	0	0
AJUBA	512	756	844	1673	2103	2064
AK1	1855	2696	2861	2378	3325	3036
AK2	1956	2495	2830	3280	3819	3835
AK3	1558	1837	1944	1606	1890	1804
AK4	2803	3048	3602	3463	3944	3512
AK5	0	1	2	4	11	2
AK6	186	251	228	283	368	301
AK7	35	31	57	44	47	48
AK8	4	19	11	0	5	3
AK9	102	164	197	82	101	90
AKAP1	646	881	946	527	597	636
AKAP10	481	549	683	715	784	791
AKAP11	1911	1646	2511	1250	596	554
AKAP12	1324	1526	1883	2061	1660	1955
AKAP13	1871	1803	2785	2967	2317	2506
AKAP14	0	0	3	1	3	0
AKAP17A	891	1263	1338	1383	1776	1911
AKAP2	2	7	3	9	0	17
AKAP3	26	30	48	14	12	13
AKAP4	1	0	0	0	1	0
AKAP5	101	138	132	15	33	14
AKAP6	926	1088	1382	2261	1843	1702
AKAP7	207	270	291	114	137	155
AKAP8	515	689	797	455	567	610
AKAP8L	1080	1494	1731	1893	2490	2314
AKAP9	1269	1128	1857	1549	1239	1218
AKIP1	159	185	247	190	243	258
AKIRIN1	2251	2939	3602	3484	4522	4420
AKIRIN2	567	853	899	998	1302	1258
AKNA	624	699	878	607	841	719
AKNAD1	0	0	0	0	0	0
AKR1A1	739	981	1167	756	1005	919
AKR1B1	1078	1381	1592	1384	1683	1470
AKR1B10	1	1	1	0	0	4
AKR1B15	11	6	21	8	1	2
AKR1C1	534	765	765	171	252	242
AKR1C2	546	941	780	108	186	229
AKR1C3	93	221	176	60	90	71
AKR1C4	8	11	13	0	0	1
AKR1C6P	0	0	0	0	0	0
AKR1C8P	0	0	0	0	0	0
AKR1D1	60	108	104	5	6	4
AKR1E2	13	13	27	14	8	13
AKR7A2	462	598	848	372	392	429
AKR7A2P1	0	0	3	4	0	2
AKR7A3	2	8	9	4	5	12
AKR7L	8	12	9	6	23	7
AKT1	2206	2943	3328	3663	4949	4982
AKT1S1	915	1392	1387	936	1162	1226
AKT2	1942	2644	2955	1963	2695	2531
AKT3	853	929	1202	1469	1298	1365
AKTIP	256	307	360	304	338	417
ALAD	592	910	981	638	837	798
ALAS1	946	1221	1371	2737	3760	3660
ALAS2	2	8	6	7	5	5
ALB	1526	3058	2472	291	446	321
ALCAM	1149	1404	1547	870	863	858
ALDH16A1	291	484	481	117	169	168
ALDH18A1	667	864	987	741	802	762
ALDH1A1	1167	1834	1586	257	425	443
ALDH1A2	21	24	21	6	12	20
ALDH1A3	2	0	1	1	0	1
ALDH1B1	233	334	406	405	564	579
ALDH1L1	70	163	116	19	26	20
ALDH1L1-AS1	0	0	1	0	1	0
ALDH1L1-AS2	3	0	3	0	0	4
ALDH1L2	100	87	165	53	36	47
ALDH2	1062	1577	1503	551	731	704
ALDH3A1	0	2	2	0	0	1
ALDH3A2	1107	1378	1660	2747	3516	3365
ALDH3B1	10	5	7	6	8	5
ALDH3B2	0	0	0	3	2	0
ALDH4A1	1095	1609	1721	592	859	718
ALDH5A1	427	483	574	234	289	232
ALDH6A1	875	1045	1154	555	692	626
ALDH7A1	1206	1601	1825	485	591	557
ALDH8A1	25	31	46	28	39	22
ALDH9A1	856	1124	1263	549	665	598
ALDOA	32233	41404	45857	78603	104456	98718
ALDOB	13	28	18	4	3	3
ALDOC	1323	1621	1957	3632	4584	4516
ALG1	195	269	327	119	157	155
ALG10	75	57	69	24	27	16
ALG10B	163	120	117	71	43	46
ALG11	121	123	153	67	63	44
ALG12	313	391	456	219	264	252
ALG13	547	706	820	415	517	583
ALG14	42	68	67	50	60	65
ALG1L	3	0	8	0	0	1
ALG1L2	0	0	0	0	0	0
ALG1L9P	8	4	5	4	2	0
ALG2	459	595	639	1011	1271	1331
ALG3	314	433	460	333	402	348
ALG5	220	216	291	118	170	155
ALG6	68	107	111	36	49	49
ALG8	445	545	593	276	346	283
ALG9	570	668	875	562	573	567
ALK	241	339	317	98	121	113
ALKBH1	173	246	255	192	214	235
ALKBH2	83	135	131	69	88	85
ALKBH3	98	142	169	103	173	114
ALKBH3-AS1	0	0	0	0	0	0
ALKBH4	161	211	300	172	276	237
ALKBH5	3118	4096	4575	7789	9996	10165
ALKBH6	123	155	199	147	257	253
ALKBH7	279	449	486	524	645	577
ALKBH8	129	202	200	150	134	133
ALLC	0	0	0	2	1	1
ALMS1	639	586	917	647	404	369
ALMS1-IT1	0	1	2	61	76	77
ALMS1P	4	12	8	2	1	6
ALOX12	7	8	5	0	2	3
ALOX12-AS1	20	26	39	19	18	18
ALOX12B	4	7	6	4	17	4
ALOX12P2	21	22	19	14	5	12
ALOX15	15	10	20	4	5	1
ALOX15B	7	5	12	9	19	7
ALOX15P1	0	0	2	0	1	2
ALOX5	16	24	42	6	2	2
ALOX5AP	0	0	0	0	0	2
ALOXE3	0	0	0	7	12	8
ALPI	0	2	1	0	0	0
ALPK1	22	20	30	1	5	1
ALPK2	8190	9966	12159	15015	14600	14389
ALPK3	7490	10085	11443	14504	17313	16323
ALPL	9	18	12	9	18	24
ALPP	0	0	0	0	0	0
ALPPL2	0	0	0	0	0	1
ALS2	879	1037	1238	1875	1630	1767
ALS2CL	67	126	133	332	497	427
ALS2CR11	2	0	1	0	0	0
ALS2CR12	31	39	36	22	17	6
ALX1	14	35	40	18	24	23
ALX3	1	1	0	0	0	0
ALX4	0	1	3	1	0	0
ALYREF	456	662	784	332	422	511
AMACR	36	53	48	32	40	35
