gene	mean	VO_mean	VO_positive_frac	Fus-HO_mean	Fus-HO_positive_frac	log2FC	-log10 p-val	is_significant
RBP1	0.3360527	0.32231233	0.19573229873908826	0.45753485	0.33276157804459694	0.50529003	5.1515985	1
AGTR1	0.09071179	0.0957247	0.06634335596508245	0.04637794	0.03945111492281304	-1.0438515	5.0511494	1
CPB1	0.028830688	0.031274855	0.01862269641125121	0.007212058	0.00686106346483705	-2.1012595	6.04003	1
TM4SF18	0.018643815	0.020519245	0.013773035887487876	0.002061714	0.0017152658662092624	-3.253744	7.8621807	1
P2RY1	0.052633725	0.04248996	0.032395732298739086	0.14232807	0.1183533447684391	1.7416481	8.256238	1
CCNL1	0.41404626	0.39478335	0.2510184287099903	0.5844232	0.4305317324185249	0.5658338	8.74455	1
RARRES1	0.008326057	0.009267778	0.005819592628516004	7.1304385e-10	0.0	-6.549625	6.995226	1
SERPINI1	0.16978368	0.17841153	0.11134820562560621	0.09347364	0.07204116638078903	-0.93184316	6.683939	1
MSX1	0.07711482	0.06817987	0.046944713870029096	0.15612641	0.11149228130360206	1.1941062	5.095496	1
FBXL5	0.15273067	0.14166969	0.09699321047526673	0.250517	0.2144082332761578	0.8219351	6.260405	1
KLF3	0.2892622	0.2714317	0.1734238603297769	0.4469112	0.3293310463121784	0.71919024	8.554121	1
FAM114A1	0.26328936	0.24126323	0.15868089233753638	0.4580348	0.35334476843910806	0.92456627	13.235105	1
LIMCH1	0.5112394	0.48703808	0.289815712900097	0.72528344	0.4854202401372213	0.5744131	10.642497	1
DANCR	0.31808436	0.33098912	0.21202715809893308	0.20395912	0.16638078902229847	-0.6982323	8.242487	1
IGFBP7	1.16097	1.0985409	0.5317167798254122	1.7130058	0.7821612349914236	0.6408943	34.725746	1
SCARB2	0.46021602	0.44084883	0.2787584869059166	0.6315156	0.45969125214408235	0.5184358	8.5473795	1
ANTXR2	0.31984472	0.30166042	0.1901066925315228	0.48062217	0.35334476843910806	0.6717998	8.531278	1
MMRN1	0.0075289584	0.008380531	0.006401551891367604	7.1304385e-10	0.0	-6.4060726	7.6787624	1
EMCN	0.49081966	0.46125737	0.2878758486905917	0.7522703	0.5025728987993139	0.70555824	14.922272	1
