id_cp_interaction	interacting_pair	partner_a	partner_b	gene_a	gene_b	secreted	receptor_a	receptor_b	annotation_strategy	is_integrin	directionality	classification	CF|CF	CF|CM	CF|EC	CF|OTH	CM|CF	CM|CM	CM|EC	CM|OTH	EC|CF	EC|CM	EC|EC	EC|OTH	OTH|CF	OTH|CM	OTH|EC	OTH|OTH
CPI-SS0669CC233	CXCL14_CXCR4	simple:O95715	simple:P61073	CXCL14	CXCR4	True	False	True	curated	False	Ligand-Receptor	Signaling by Chemokines	0.112	0.014	0.289	0.016	0.109	0.011	0.286	0.013	0.0	0.0	0.0	0.0	0.194	0.096	0.371	0.098
CPI-SS0F62347D4	C1QL1_ADGRB3	simple:O75973	simple:O60242	C1QL1	ADGRB3	True	False	True	curated	False	Ligand-Receptor	Signaling by Complement	0.022	0.012	0.025	0.0	0.026	0.015	0.028	0.0	0.0	0.0	0.0	0.0	0.02	0.01	0.023	0.0
CPI-CS0917E42F5	DHEAsulfate_bySULT1E1_PPARG	complex:DHEAsulfate_bySULT1E1	simple:P37231		PPARG	True	False	True	curated	False	Ligand-Receptor	Signaling by Dehydroepiandrosterone	0.04	0.002	0.136	0.288	0.041	0.002	0.137	0.288	0.0	0.0	0.0	0.0	0.192	0.153	0.288	0.439
CPI-SS0D8632EB4	EDN1_EDNRA	simple:P05305	simple:P25101	EDN1	EDNRA	True	False	True	curated	False	Ligand-Receptor	Signaling by Endothelin	0.125	0.124	0.0	0.079	0.058	0.057	0.0	0.013	0.098	0.097	0.0	0.053	0.091	0.09	0.0	0.046
CPI-SS056AA08CF	EDN2_EDNRA	simple:P20800	simple:P25101	EDN2	EDNRA	True	False	True	curated	False	Ligand-Receptor	Signaling by Endothelin	0.0	0.0	0.0	0.0	0.057	0.056	0.0	0.012	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS03D5CBF55	EDN3_EDNRA	simple:P14138	simple:P25101	EDN3	EDNRA	True	False	True	curated	False	Ligand-Receptor	Signaling by Endothelin	0.057	0.056	0.0	0.012	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS0FC01B947	EFNA5_EPHA4	simple:P52803	simple:P54764	EFNA5	EPHA4	False	False	True	curated	False	Ligand-Receptor	Signaling by Ephrin	0.061	0.211	0.0	0.055	0.02	0.171	0.0	0.015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS087E0E3FB	EFNB2_EPHA4	simple:P52799	simple:P54764	EFNB2	EPHA4	False	True	True	curated	False	Ligand-Receptor	Signaling by Ephrin	0.067	0.217	0.0	0.061	0.041	0.192	0.0	0.036	0.27	0.421	0.0	0.265	0.035	0.185	0.0	0.03
CPI-SS09E3F5044	EFNA5_EPHA5	simple:P52803	simple:P54756	EFNA5	EPHA5	False	False	True	curated	False	Ligand-Receptor	Signaling by Ephrin	0.054	0.052	0.0	0.0	0.014	0.011	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS05ABE6795	EFNB2_EPHB6	simple:P52799	simple:O15197	EFNB2	EPHB6	True	True	True	curated	False	Ligand-Receptor	Signaling by Ephrin	0.093	0.062	0.063	0.07	0.067	0.036	0.038	0.044	0.296	0.266	0.267	0.274	0.061	0.03	0.032	0.038
CPI-SS052119104	AREG_EGFR	simple:P15514	simple:P00533	AREG	EGFR	True	False	True	curated	False	Ligand-Receptor	Signaling by Epidermal growth factor	0.162	0.039	0.0	0.218	0.191	0.069	0.0	0.247	0.151	0.029	0.0	0.207	0.37	0.248	0.0	0.426
CPI-SS01F67987A	FGF2_FGFR1	simple:P09038	simple:P11362	FGF2	FGFR1	True	False	True	curated	False	Ligand-Receptor	Signaling by Fibroblast growth factor	0.285	0.151	0.313	0.066	0.255	0.122	0.283	0.036	0.255	0.122	0.283	0.036	0.272	0.139	0.301	0.053
CPI-SS01333FFA6	FGF5_FGFR1	simple:P12034	simple:P11362	FGF5	FGFR1	True	False	True	curated	False	Ligand-Receptor	Signaling by Fibroblast growth factor	0.254	0.121	0.282	0.035	0.247	0.114	0.275	0.028	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS08BFFB96E	FLRT3_ADGRL2	simple:Q9NZU0	simple:O95490	FLRT3	ADGRL2	False	False	True	curated	False	Ligand-Receptor	Signaling by Fibronectin	0.192	0.038	0.323	0.036	0.188	0.034	0.318	0.031	0.0	0.0	0.0	0.0	0.263	0.109	0.394	0.107
CPI-SS083BB1EB3	TENM1_ADGRL2	simple:Q9UKZ4	simple:O95490	TENM1	ADGRL2	False	False	True	curated	False	Ligand-Receptor	Signaling by Teneurin	0.189	0.035	0.32	0.033	0.187	0.033	0.318	0.031	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS075F456AF	TENM3_ADGRL2	simple:Q9P273	simple:O95490	TENM3	ADGRL2	False	False	True	curated	False	Ligand-Receptor	Signaling by Teneurin	0.292	0.138	0.422	0.135	0.206	0.052	0.337	0.05	0.19	0.036	0.321	0.034	0.203	0.049	0.334	0.047
CPI-SS07AF9303D	GRP_GRPR	simple:P07492	simple:P30550	GRP	GRPR	True	False	True	curated	False	Ligand-Receptor	Signaling by Gastrin	0.0	0.001	0.0	0.0	0.0	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS09F7A6011	PENK_GHSR	simple:P01210	simple:Q92847	PENK	GHSR	True	False	True	curated	False	Ligand-Receptor		0.0	0.42	0.0	0.0	0.0	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0
CPI-SS027E12A36	MDK_PTPRZ1	simple:P21741	simple:P23471	MDK	PTPRZ1	True	False	False	curated	False	Ligand-Receptor	Signaling by Midkine	1.028	1.027	0.0	0.0	0.504	0.504	0.0	0.0	0.111	0.11	0.0	0.0	0.698	0.698	0.0	0.0
CPI-SS04E690D72	PTN_PTPRZ1	simple:P21246	simple:P23471	PTN	PTPRZ1	True	False	False	curated	False	Ligand-Receptor	Signaling by Pleiotrophin	0.658	0.657	0.0	0.0	0.242	0.242	0.0	0.0	0.0	0.0	0.0	0.0	0.014	0.014	0.0	0.0
CPI-SS0730D1EF3	CNTN1_MCAM	simple:Q12860	simple:P43121	CNTN1	MCAM	False	False	False	curated	False	Adhesion-Adhesion		0.049	0.093	0.401	0.004	0.058	0.102	0.41	0.013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS007AA9FDE	DLK1_NOTCH3	simple:P80370	simple:Q9UM47	DLK1	NOTCH3	False	False	True	curated	False	Ligand-Receptor	Signaling by Notch	0.879	0.816	0.81	0.801	0.106	0.043	0.037	0.028	0.326	0.263	0.257	0.248	1.125	1.062	1.056	1.046
CPI-SS0B99F22A2	JAG1_NOTCH3	simple:P78504	simple:Q9UM47	JAG1	NOTCH3	False	False	True	curated	False	Ligand-Receptor	Signaling by Notch	0.25	0.187	0.181	0.172	0.165	0.103	0.096	0.087	0.265	0.203	0.196	0.187	0.118	0.055	0.049	0.04
CPI-SS07361522F	PGF_FLT1	simple:P49763	simple:P17948	PGF	FLT1	True	False	True	curated	False	Ligand-Receptor	Signaling by Placenta growth factor	0.307	0.075	1.668	0.069	0.27	0.038	1.631	0.032	0.387	0.155	1.748	0.149	0.27	0.039	1.632	0.032
CPI-SS0B9B3870A	VEGFA_FLT1	simple:P15692	simple:P17948	VEGFA	FLT1	True	False	True	curated	False	Ligand-Receptor	Signaling by Vascular endothelial growth factor	0.85	0.618	2.211	0.611	0.659	0.428	2.021	0.421	0.465	0.233	1.826	0.226	0.928	0.697	2.29	0.69
CPI-SC0B51DC960	PGF_FLT1_complex	simple:P49763	complex:FLT1_complex	PGF		True	False	True	curated	False	Ligand-Receptor	Signaling by Placenta growth factor	0.115	0.075	0.853	0.069	0.078	0.038	0.816	0.032	0.195	0.155	0.933	0.149	0.079	0.039	0.816	0.032
