gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	gene	CM	EC	EP	PV	UN
PGF	P49763	False	PLGF_HUMAN		CPI-SC0B51DC960	PGF	0.021	0.247	0.027	0.104	0.016
VEGFA	P15692	False	VEGFA_HUMAN		CPI-SC0AFC650CD	VEGFA	1.041	0.622	1.366	1.376	1.166
PGF	P49763	False	PLGF_HUMAN		CPI-SS065D9259F	PGF	0.021	0.247	0.027	0.104	0.016
VEGFA	P15692	False	VEGFA_HUMAN		CPI-SS046F8AD8B	VEGFA	1.041	0.622	1.366	1.376	1.166
PDGFA	P04085	False	PDGFA_HUMAN		CPI-SS0B70EB09E	PDGFA	0.067	0.76	0.016	0.194	0.013
NPY	P01303	False	NPY_HUMAN		CPI-SS0666DE74B	NPY	0.001	0.0	0.0	0.031	0.001
NPY	P01303	False	NPY_HUMAN		CPI-SS0E2083FAC	NPY	0.001	0.0	0.0	0.031	0.001
GNRH2	O43555	False	GON2_HUMAN		CPI-SS0D9BC4188	GNRH2	0.001	0.0	0.09	0.0	0.003
RSPO2	Q6UXX9	False	RSPO2_HUMAN		CPI-SS056D0AD0D	RSPO2	0.0	0.0	0.0	0.0	0.0
RSPO3	Q9BXY4	False	RSPO3_HUMAN		CPI-SS0C3906934	RSPO3	1.252	0.014	0.151	0.316	0.59
SEMA3E	O15041	False	SEM3E_HUMAN		CPI-SS0F3A089DE	SEMA3E	0.014	0.006	0.0	0.017	0.01
SST	P61278	False	SMS_HUMAN		CPI-SS0FE594C97	SST	0.0	0.0	0.0	0.008	0.004
SDC2	P34741	False	SDC2_HUMAN		CPI-SS0D681D90E	SDC2	0.257	0.028	0.839	0.625	0.084
TAC1	P20366	False	TKN1_HUMAN		CPI-SS02A8BD654	TAC1	0.006	0.0	0.0	0.762	0.019
TNFSF10	P50591	False	TNF10_HUMAN		CPI-SS05A3055C3	TNFSF10	0.0	0.007	0.059	0.023	0.003
VEGFA	P15692	False	VEGFA_HUMAN		CPI-SS0C03F7CDC	VEGFA	1.041	0.622	1.366	1.376	1.166
WNT2B	Q93097	False	WNT2B_HUMAN		CPI-SS0786D3749	WNT2B	0.014	0.042	0.03	0.055	0.048
WNT4	P56705	False	WNT4_HUMAN		CPI-SS0EE63435D	WNT4	0.001	0.0	0.0	0.0	0.003
WNT5A	P41221	False	WNT5A_HUMAN		CPI-SS007954822	WNT5A	0.033	0.013	0.032	0.195	0.034
WNT9A	O14904	False	WNT9A_HUMAN		CPI-SS0EBBBD522	WNT9A	0.001	0.0	0.0	0.0	0.004
WNT2B	Q93097	False	WNT2B_HUMAN		CPI-SS05207EFF8	WNT2B	0.014	0.042	0.03	0.055	0.048
WNT4	P56705	False	WNT4_HUMAN		CPI-SS036707F4C	WNT4	0.001	0.0	0.0	0.0	0.003
WNT5A	P41221	False	WNT5A_HUMAN		CPI-SS0F1E79A03	WNT5A	0.033	0.013	0.032	0.195	0.034
WNT9A	O14904	False	WNT9A_HUMAN		CPI-SS0A93EEAEB	WNT9A	0.001	0.0	0.0	0.0	0.004
WNT2B	Q93097	False	WNT2B_HUMAN		CPI-SS08643DD8A	WNT2B	0.014	0.042	0.03	0.055	0.048
WNT4	P56705	False	WNT4_HUMAN		CPI-SS0661CE946	WNT4	0.001	0.0	0.0	0.0	0.003
WNT5A	P41221	False	WNT5A_HUMAN		CPI-SS03F33B34C	WNT5A	0.033	0.013	0.032	0.195	0.034
WNT9A	O14904	False	WNT9A_HUMAN		CPI-SS00877D499	WNT9A	0.001	0.0	0.0	0.0	0.004
WNT2B	Q93097	False	WNT2B_HUMAN		CPI-SS010F961E8	WNT2B	0.014	0.042	0.03	0.055	0.048
WNT4	P56705	False	WNT4_HUMAN		CPI-SS068E97BDA	WNT4	0.001	0.0	0.0	0.0	0.003
WNT5A	P41221	False	WNT5A_HUMAN		CPI-SS03C93A8FE	WNT5A	0.033	0.013	0.032	0.195	0.034
