gene	mean	HO_mean	HO_positive_frac	VasHO_mean	VasHO_positive_frac	log2FC	-log10 p-val	is_significant
LAGE3	0.28120634	0.4159339	0.5051020408163265	0.2256105	0.27157894736842103	-0.88222754	5.917585	1
DDX3Y	0.4714359	0.6156775	0.7193877551020408	0.41191703	0.4673684210526316	-0.57970524	5.959682	1
MT-CO1	3.667225	2.8279772	0.9438775510204082	4.0135264	0.9936842105263158	0.505085	24.658897	1
MT-CO2	3.1213229	2.071569	0.9285714285714286	3.5544841	0.9873684210526316	0.77888733	37.561367	1
MT-ATP6	3.1862688	2.427012	0.9081632653061225	3.4995606	0.9978947368421053	0.52797437	20.514784	1
MT-CO3	3.311463	2.3186111	0.923469387755102	3.7211463	0.9894736842105263	0.6824628	31.90674	1
MT-ND3	2.086066	1.2899476	0.7448979591836735	2.4145675	0.9621052631578947	0.90440017	32.738506	1
MT-ND5	1.6964598	1.282506	0.8112244897959183	1.867269	0.9284210526315789	0.54192907	14.128653	1
MT-ND6	0.4606488	0.29147407	0.336734693877551	0.53045666	0.5347368421052632	0.8636445	7.783921	1
MT-CYB	2.8306458	1.926438	0.8571428571428571	3.2037518	0.9789473684210527	0.7337967	30.071371	1
