gene	mean	Fus-HO_mean	Fus-HO_positive_frac	VasHO_mean	VasHO_positive_frac	log2FC	-log10 p-val	is_significant
S100A3	0.059592284	0.019833298	0.025	0.08637736	0.10947368421052632	2.1171422	5.6487913	1
S100A16	0.8094396	0.5903422	0.490625	0.95704025	0.7052631578947368	0.69693446	11.856078	1
S100A13	0.901538	0.6927072	0.546875	1.0422242	0.7936842105263158	0.5892782	11.30911	1
SHC1	0.545231	0.4317057	0.4	0.6217124	0.6021052631578947	0.5260971	5.319957	1
FDPS	0.61619824	0.3616212	0.34375	0.7877037	0.6821052631578948	1.1229582	22.191622	1
LAMTOR2	0.60821897	0.46433207	0.415625	0.70515436	0.6842105263157895	0.6026761	7.875679	1
LMNA	1.2947586	1.0108339	0.715625	1.4860324	0.8947368421052632	0.555874	18.07672	1
CCT3	0.90473837	0.69662064	0.56875	1.0449429	0.8273684210526315	0.58490986	12.873966	1
NES	0.59646624	0.4177613	0.38125	0.7168583	0.6189473684210526	0.7788652	10.81286	1
CRABP2	0.6490829	0.81467557	0.603125	0.53753173	0.5178947368421053	-0.5997844	7.3822474	1
TAGLN2	0.9886525	0.5942436	0.478125	1.2543584	0.8294736842105264	1.0776956	34.171883	1
MPZL1	0.4661184	0.34508622	0.3375	0.54765743	0.56	0.6661623	6.906216	1
GPR161	0.14569299	0.08349438	0.0875	0.18759534	0.2294736842105263	1.166915	5.0104785	1
GAS5	1.5283209	1.8705143	0.9375	1.2977839	0.8757894736842106	-0.5273508	24.112661	1
DHX9	0.3741138	0.24966094	0.246875	0.457956	0.5031578947368421	0.87497604	8.629644	1
ARPC5	1.2328926	0.9873377	0.71875	1.3983171	0.9073684210526316	0.50203305	15.691629	1
C1orf21	0.56743664	0.74931115	0.58125	0.44491643	0.47368421052631576	-0.751899	9.766563	1
RGS2	0.23065323	0.36605662	0.290625	0.13942954	0.14947368421052631	-1.3918903	8.052778	1
ASPM	0.14664312	0.051690243	0.03125	0.21061148	0.13473684210526315	2.0245166	5.7575135	1
TNNI1	0.34536687	0.58235353	0.434375	0.1857087	0.20421052631578948	-1.6483248	15.331968	1
CSRP1	0.24098103	0.09595747	0.10625	0.33868	0.36	1.8183788	16.57388	1
NAV1	0.64749867	0.4769989	0.421875	0.7623634	0.6484210526315789	0.6763798	9.149329	1
TIMM17A	0.35759374	0.2613091	0.25	0.42245913	0.47578947368421054	0.692844	5.2915134	1
PCAT6	0.10926515	0.20140785	0.19375	0.047190785	0.06315789473684211	-2.0912051	8.360426	1
RAB7B	0.10584175	0.044128217	0.05	0.14741735	0.1726315789473684	1.7378457	6.926708	1
G0S2	0.20906001	0.3239348	0.275	0.13166705	0.13894736842105262	-1.2981591	6.818069	1
TRAF5	0.19162837	0.088015944	0.090625	0.26142967	0.30736842105263157	1.5694995	10.880156	1
CENPF	0.2382805	0.1095794	0.06875	0.3249826	0.19157894736842104	1.5675137	5.817002	1
CAPN2	0.58813983	0.39484087	0.365625	0.7183636	0.6778947368421052	0.8632785	14.140777	1
LBR	0.28632572	0.17420502	0.1875	0.3618581	0.4147368421052632	1.0542085	8.925402	1
ENAH	0.7447166	0.50435585	0.446875	0.9066429	0.7221052631578947	0.84596556	16.620003	1
CDC42BPA	0.30598533	0.21817674	0.225	0.36513865	0.4231578947368421	0.742681	5.216958	1
GALNT2	0.43566865	0.29796904	0.284375	0.5284366	0.5557894736842105	0.82635695	9.140126	1
CEP170	0.70246553	0.5221475	0.45625	0.8239427	0.728421052631579	0.65798557	10.713339	1
ADI1	0.32990044	0.14999638	0.1625	0.45109826	0.4884210526315789	1.5878723	20.3776	1
ID2	0.5066744	0.67708546	0.478125	0.3918761	0.36	-0.78878546	7.2189803	1
ASAP2	0.16632149	0.090294845	0.103125	0.21753955	0.27157894736842103	1.2676282	7.2301397	1
SMC6	0.27415976	0.18861724	0.190625	0.33178702	0.37684210526315787	0.8144659	5.253089	1
KCNS3	0.106063515	0.04840625	0.05625	0.14490636	0.16842105263157894	1.5798734	6.045101	1
RHOB	0.36366326	0.20498131	0.20625	0.47056505	0.48	1.1985047	13.142555	1
TP53I3	0.355355	0.19923328	0.2125	0.46053156	0.4905263157894737	1.2084306	14.029309	1
RAB10	0.52832323	0.4125088	0.38125	0.60634696	0.6021052631578947	0.555607	5.691714	1
PPM1G	0.69623125	0.49429017	0.45	0.8322759	0.7305263157894737	0.75158525	13.949818	1
NRBP1	0.42917308	0.31525835	0.309375	0.5059168	0.5326315789473685	0.6821932	6.5108223	1
EHD3	0.20792085	0.09191346	0.096875	0.28607178	0.31157894736842107	1.6369644	11.76275	1
FAM98A	0.39531174	0.27062213	0.26875	0.47931367	0.5073684210526316	0.8244583	8.063163	1
CRIM1	0.12996876	0.053060893	0.05	0.18178056	0.2063157894736842	1.7745541	8.104764	1
EML4	0.29014152	0.14612494	0.153125	0.38716242	0.4336842105263158	1.405122	14.146005	1
