gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	gene	CM	EN_H	EN_V	EP	FB_H	FB_V	PR	UN
WNT3	P56703	False	WNT3_HUMAN		CPI-SS0DF9024C0	WNT3	0.012	0.0	0.0	0.0	0.025	0.008	0.012	0.003
WNT4	P56705	False	WNT4_HUMAN		CPI-SS036707F4C	WNT4	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0
WNT5A	P41221	False	WNT5A_HUMAN		CPI-SS0F1E79A03	WNT5A	0.044	0.058	0.107	0.064	0.206	0.157	0.162	0.008
WNT3	P56703	False	WNT3_HUMAN		CPI-SS0E9BE6A4E	WNT3	0.012	0.0	0.0	0.0	0.025	0.008	0.012	0.003
WNT4	P56705	False	WNT4_HUMAN		CPI-SS0661CE946	WNT4	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0
WNT5A	P41221	False	WNT5A_HUMAN		CPI-SS03F33B34C	WNT5A	0.044	0.058	0.107	0.064	0.206	0.157	0.162	0.008
GDNF	P39905	False	GDNF_HUMAN		CPI-SC0BDF87EA3	GDNF	0.001	0.0	0.0	0.0	0.0	0.021	0.012	0.0
ESAM	Q96AP7	False	ESAM_HUMAN		CPI-SS04C672963	ESAM	0.01	0.915	0.929	0.011	0.07	0.032	0.298	0.011
FLT1	P17948	True	VGFR1_HUMAN	FLT1_complex	CPI-SC0B51DC960	FLT1	0.05	0.9	0.94	0.032	0.127	0.055	0.005	0.055
FLT1	P17948	True	VGFR1_HUMAN	FLT1_complex	CPI-SC0AFC650CD	FLT1	0.05	0.9	0.94	0.032	0.127	0.055	0.005	0.055
KDR	P35968	True	VGFR2_HUMAN	FLT1_complex	CPI-SC0B51DC960	KDR	0.05	0.9	0.94	0.032	0.127	0.055	0.005	0.055
KDR	P35968	True	VGFR2_HUMAN	FLT1_complex	CPI-SC0AFC650CD	KDR	0.05	0.9	0.94	0.032	0.127	0.055	0.005	0.055
PTCH1	Q13635	True	PTC1_HUMAN	PTCH_BOC_transmembrane_receptor	CPI-SC0037338E6	PTCH1	0.044	0.027	0.024	0.021	0.076	0.025	0.019	0.003
PTCH1	Q13635	True	PTC1_HUMAN	PTCH_GAS1_transmembrane_receptor	CPI-SC0C3E862AA	PTCH1	0.012	0.018	0.024	0.0	0.082	0.025	0.019	0.003
BOC	Q9BWV1	True	BOC_HUMAN	PTCH_BOC_transmembrane_receptor	CPI-SC0037338E6	BOC	0.044	0.027	0.024	0.021	0.076	0.025	0.019	0.003
GAS1	P54826	True	GAS1_HUMAN	PTCH_GAS1_transmembrane_receptor	CPI-SC0C3E862AA	GAS1	0.012	0.018	0.024	0.0	0.082	0.025	0.019	0.003
RET	P07949	True	RET_HUMAN	RET_receptor_1	CPI-SC0BDF87EA3	RET	0.001	0.0	0.012	0.0	0.003	0.002	0.007	0.0
GFRA1	P56159	True	GFRA1_HUMAN	RET_receptor_1	CPI-SC0BDF87EA3	GFRA1	0.001	0.0	0.012	0.0	0.003	0.002	0.007	0.0
NRXN3	Q9HDB5	False	NRX3B_HUMAN		CPI-SS01A7DC3C1	NRXN3	0.006	0.003	0.012	0.0	0.003	0.011	0.033	0.002
NRXN3	Q9HDB5	False	NRX3B_HUMAN		CPI-SS026EC3854	NRXN3	0.006	0.003	0.012	0.0	0.003	0.011	0.033	0.002
NRXN3	Q9HDB5	False	NRX3B_HUMAN		CPI-SS0F97A06CD	NRXN3	0.006	0.003	0.012	0.0	0.003	0.011	0.033	0.002
NRXN3	Q9HDB5	False	NRX3B_HUMAN		CPI-SS0837C7966	NRXN3	0.006	0.003	0.012	0.0	0.003	0.011	0.033	0.002
F2R	P25116	False	PAR1_HUMAN		CPI-SS058209EC7	F2R	0.045	0.535	0.5	0.064	0.43	0.239	0.29	0.019
CD36	P16671	False	CD36_HUMAN		CPI-SS0C93E48D7	CD36	0.009	0.006	0.024	0.011	0.003	0.009	0.233	0.006
AGTR1	P30556	False	AGTR1_HUMAN		CPI-SS05996C8FD	AGTR1	0.004	0.018	0.024	0.543	0.044	0.054	0.081	0.0
AGTR2	P50052	False	AGTR2_HUMAN		CPI-SS069924427	AGTR2	0.0	0.0	0.0	0.011	0.0	0.002	0.0	0.0
APLNR	P35414	False	APJ_HUMAN		CPI-SS086CB298F	APLNR	0.003	0.204	0.119	0.0	0.066	0.0	0.0	0.002
NGFR	P08138	False	TNR16_HUMAN		CPI-SS0E4E83C2E	NGFR	0.042	0.006	0.0	0.021	0.155	0.038	0.033	0.002
NTRK2	Q16620	False	NTRK2_HUMAN		CPI-SS0BA601DC4	NTRK2	0.01	0.0	0.012	0.021	0.171	0.13	0.102	0.008
NTRK2	Q16620	False	NTRK2_HUMAN		CPI-SS0E3AA6B7B	NTRK2	0.01	0.0	0.012	0.021	0.171	0.13	0.102	0.008
NRXN1	Q9ULB1	False	NRX1A_HUMAN		CPI-SS09A6C048C	NRXN1	0.431	0.04	0.06	0.096	0.098	0.375	0.14	0.065
NRXN1	Q9ULB1	False	NRX1A_HUMAN		CPI-SS0626DF0EB	NRXN1	0.431	0.04	0.06	0.096	0.098	0.375	0.14	0.065
NRXN1	Q9ULB1	False	NRX1A_HUMAN		CPI-SS03466C597	NRXN1	0.431	0.04	0.06	0.096	0.098	0.375	0.14	0.065
NRXN1	Q9ULB1	False	NRX1A_HUMAN		CPI-SS0CCB5F46B	NRXN1	0.431	0.04	0.06	0.096	0.098	0.375	0.14	0.065
NRXN2	P58401	False	NRX2B_HUMAN		CPI-SS093707FE0	NRXN2	0.004	0.0	0.012	0.0	0.022	0.041	0.033	0.002
NRXN2	P58401	False	NRX2B_HUMAN		CPI-SS08D8F6957	NRXN2	0.004	0.0	0.012	0.0	0.022	0.041	0.033	0.002
NRXN2	P58401	False	NRX2B_HUMAN		CPI-SS06157E5AF	NRXN2	0.004	0.0	0.012	0.0	0.022	0.041	0.033	0.002
NRXN2	P58401	False	NRX2B_HUMAN		CPI-SS07C26C799	NRXN2	0.004	0.0	0.012	0.0	0.022	0.041	0.033	0.002
DPP4	P27487	False	DPP4_HUMAN		CPI-SS0FDAB7BA8	DPP4	0.001	0.015	0.024	0.053	0.0	0.006	0.002	0.0
DPP4	P27487	False	DPP4_HUMAN		CPI-SS0B1B18F2D	DPP4	0.001	0.015	0.024	0.053	0.0	0.006	0.002	0.0
