gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	gene	CM	EN_H	EN_V	EP	FB_H	FB_V	PR	SM	UN
EPHB2	P29323	False	EPHB2_HUMAN		CPI-SS0ECC9DF3E	EPHB2	0.084	0.012	0.007	0.007	0.082	0.033	0.012	0.0	0.039
EPHB6	O15197	False	EPHB6_HUMAN		CPI-SS05ABE6795	EPHB6	0.013	0.01	0.027	0.04	0.065	0.079	0.149	0.027	0.004
EGFR	P00533	False	EGFR_HUMAN		CPI-SS052119104	EGFR	0.015	0.036	0.04	0.456	0.288	0.281	0.238	0.162	0.011
EGFR	P00533	False	EGFR_HUMAN		CPI-SS09947DDD9	EGFR	0.015	0.036	0.04	0.456	0.288	0.281	0.238	0.162	0.011
ADGRL3	Q9HAR2	False	AGRL3_HUMAN		CPI-SS0430C8A78	ADGRL3	0.081	0.044	0.02	0.0	0.056	0.12	0.057	0.0	0.018
ADGRL3	Q9HAR2	False	AGRL3_HUMAN		CPI-CS059C42E4B	ADGRL3	0.081	0.044	0.02	0.0	0.056	0.12	0.057	0.0	0.018
ADGRL3	Q9HAR2	False	AGRL3_HUMAN		CPI-SS0474E1C15	ADGRL3	0.081	0.044	0.02	0.0	0.056	0.12	0.057	0.0	0.018
ADGRL3	Q9HAR2	False	AGRL3_HUMAN		CPI-SS052641D5A	ADGRL3	0.081	0.044	0.02	0.0	0.056	0.12	0.057	0.0	0.018
ADGRL3	Q9HAR2	False	AGRL3_HUMAN		CPI-CS0D62B1695	ADGRL3	0.081	0.044	0.02	0.0	0.056	0.12	0.057	0.0	0.018
ADGRL3	Q9HAR2	False	AGRL3_HUMAN		CPI-SS038A612D7	ADGRL3	0.081	0.044	0.02	0.0	0.056	0.12	0.057	0.0	0.018
ADGRL3	Q9HAR2	False	AGRL3_HUMAN		CPI-SS0BCB3D402	ADGRL3	0.081	0.044	0.02	0.0	0.056	0.12	0.057	0.0	0.018
ADGRL3	Q9HAR2	False	AGRL3_HUMAN		CPI-SS0EA023E51	ADGRL3	0.081	0.044	0.02	0.0	0.056	0.12	0.057	0.0	0.018
ADGRL3	Q9HAR2	False	AGRL3_HUMAN		CPI-SS01F00A48A	ADGRL3	0.081	0.044	0.02	0.0	0.056	0.12	0.057	0.0	0.018
ADGRL2	O95490	False	AGRL2_HUMAN		CPI-SS08BFFB96E	ADGRL2	0.063	0.601	0.53	0.148	0.467	0.355	0.257	0.297	0.025
ADGRL2	O95490	False	AGRL2_HUMAN		CPI-CS049AAD8F5	ADGRL2	0.063	0.601	0.53	0.148	0.467	0.355	0.257	0.297	0.025
ADGRL2	O95490	False	AGRL2_HUMAN		CPI-SS083BB1EB3	ADGRL2	0.063	0.601	0.53	0.148	0.467	0.355	0.257	0.297	0.025
ADGRL2	O95490	False	AGRL2_HUMAN		CPI-SS021718DBF	ADGRL2	0.063	0.601	0.53	0.148	0.467	0.355	0.257	0.297	0.025
ADGRL2	O95490	False	AGRL2_HUMAN		CPI-SS075F456AF	ADGRL2	0.063	0.601	0.53	0.148	0.467	0.355	0.257	0.297	0.025
ADGRL2	O95490	False	AGRL2_HUMAN		CPI-SS0FD44484F	ADGRL2	0.063	0.601	0.53	0.148	0.467	0.355	0.257	0.297	0.025
GHSR	Q92847	False	GHSR_HUMAN		CPI-SS0DE3B267F	GHSR	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0
GHSR	Q92847	False	GHSR_HUMAN		CPI-SS09F7A6011	GHSR	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0
CYSLTR1	Q9Y271	False	CLTR1_HUMAN		CPI-CS0215886EA	CYSLTR1	0.003	0.428	0.201	0.013	0.009	0.018	0.055	0.0	0.004
PTPRZ1	P23471	False	PTPRZ_HUMAN		CPI-SS027E12A36	PTPRZ1	0.001	0.0	0.0	0.0	0.002	0.005	0.001	0.0	0.0
PTPRZ1	P23471	False	PTPRZ_HUMAN		CPI-SS04E690D72	PTPRZ1	0.001	0.0	0.0	0.0	0.002	0.005	0.001	0.0	0.0
MCAM	P43121	False	MUC18_HUMAN		CPI-SS0730D1EF3	MCAM	0.221	0.852	0.779	0.02	0.262	0.098	0.699	0.946	0.075
NOTCH3	Q9UM47	False	NOTC3_HUMAN		CPI-SS007AA9FDE	NOTCH3	0.062	0.046	0.094	0.047	0.335	0.141	0.496	0.757	0.025
NOTCH3	Q9UM47	False	NOTC3_HUMAN		CPI-SS0B99F22A2	NOTCH3	0.062	0.046	0.094	0.047	0.335	0.141	0.496	0.757	0.025
NOTCH3	Q9UM47	False	NOTC3_HUMAN		CPI-SS0263EFDDF	NOTCH3	0.062	0.046	0.094	0.047	0.335	0.141	0.496	0.757	0.025
NOTCH4	Q99466	False	NOTC4_HUMAN		CPI-SS0D37C7C70	NOTCH4	0.022	0.672	0.638	0.02	0.026	0.01	0.011	0.0	0.014
NOTCH4	Q99466	False	NOTC4_HUMAN		CPI-SS0837E9F59	NOTCH4	0.022	0.672	0.638	0.02	0.026	0.01	0.011	0.0	0.014
NOTCH4	Q99466	False	NOTC4_HUMAN		CPI-SS096F3E0F2	NOTCH4	0.022	0.672	0.638	0.02	0.026	0.01	0.011	0.0	0.014
OPRK1	P41145	False	OPRK_HUMAN		CPI-SS0D1EF9598	OPRK1	0.0	0.0	0.007	0.0	0.0	0.023	0.0	0.0	0.0
OPRM1	P35372	False	OPRM_HUMAN		CPI-SS0D97012FB	OPRM1	0.0	0.0	0.0	0.0	0.002	0.0	0.001	0.0	0.0
ADCYAP1R1	P41586	False	PACR_HUMAN		CPI-SS0133239EA	ADCYAP1R1	0.001	0.007	0.0	0.0	0.002	0.007	0.002	0.027	0.0
ADCYAP1R1	P41586	False	PACR_HUMAN		CPI-SS06102CC06	ADCYAP1R1	0.001	0.007	0.0	0.0	0.002	0.007	0.002	0.027	0.0
FLT1	P17948	False	VGFR1_HUMAN		CPI-SS07361522F	FLT1	0.061	1.0	0.987	0.047	0.533	0.131	0.532	0.595	0.028
FLT1	P17948	False	VGFR1_HUMAN		CPI-SS0B9B3870A	FLT1	0.061	1.0	0.987	0.047	0.533	0.131	0.532	0.595	0.028
NRP1	O14786	False	NRP1_HUMAN		CPI-SS01790830C	NRP1	0.314	0.888	0.792	0.074	0.374	0.326	0.322	0.351	0.089
NRP1	O14786	False	NRP1_HUMAN		CPI-SS034083FFA	NRP1	0.314	0.888	0.792	0.074	0.374	0.326	0.322	0.351	0.089
NRP1	O14786	False	NRP1_HUMAN		CPI-SS043E22BF5	NRP1	0.314	0.888	0.792	0.074	0.374	0.326	0.322	0.351	0.089
NRP2	O60462	False	NRP2_HUMAN		CPI-SS065D9259F	NRP2	0.337	0.91	0.758	0.047	0.241	0.471	0.093	0.324	0.078
NRP2	O60462	False	NRP2_HUMAN		CPI-SS046F8AD8B	NRP2	0.337	0.91	0.758	0.047	0.241	0.471	0.093	0.324	0.078
PDGFRA	P16234	False	PGFRA_HUMAN		CPI-SS0B70EB09E	PDGFRA	0.036	0.049	0.094	0.034	0.486	0.585	0.375	0.108	0.011
NPY1R	P25929	False	NPY1R_HUMAN		CPI-SS0666DE74B	NPY1R	0.053	0.01	0.02	0.007	0.039	0.219	0.14	0.135	0.011
PTGFR	P43088	False	PF2R_HUMAN		CPI-CS058DED3AA	PTGFR	0.02	0.0	0.007	0.0	0.002	0.055	0.002	0.027	0.004
PTGFR	P43088	False	PF2R_HUMAN		CPI-CS0D78DAC70	PTGFR	0.02	0.0	0.007	0.0	0.002	0.055	0.002	0.027	0.004
PTGER1	P34995	False	PE2R1_HUMAN		CPI-CS09DCEBC2B	PTGER1	0.003	0.007	0.007	0.0	0.006	0.001	0.002	0.0	0.0
PTGER2	P43116	False	PE2R2_HUMAN		CPI-CS0F0453B03	PTGER2	0.001	0.002	0.0	0.0	0.006	0.009	0.034	0.0	0.0
PTGER3	P43115	False	PE2R3_HUMAN		CPI-CS080C76630	PTGER3	0.084	0.022	0.04	0.013	0.125	0.066	0.01	0.0	0.018
PTGER4	P35408	False	PE2R4_HUMAN		CPI-CS023F349AF	PTGER4	0.002	0.017	0.02	0.02	0.013	0.051	0.108	0.081	0.0
LGR5	O75473	False	LGR5_HUMAN		CPI-SS09B2320BC	LGR5	0.001	0.0	0.0	0.047	0.0	0.076	0.004	0.0	0.0
LGR5	O75473	False	LGR5_HUMAN		CPI-SS056D0AD0D	LGR5	0.001	0.0	0.0	0.047	0.0	0.076	0.004	0.0	0.0
LGR5	O75473	False	LGR5_HUMAN		CPI-SS0C3906934	LGR5	0.001	0.0	0.0	0.047	0.0	0.076	0.004	0.0	0.0
PLXND1	Q9Y4D7	False	PLXD1_HUMAN		CPI-SS0F3A089DE	PLXND1	0.087	0.939	0.933	0.081	0.366	0.104	0.323	0.297	0.05
HTR2B	P41595	False	5HT2B_HUMAN		CPI-CS09463D22E	HTR2B	0.001	0.0	0.007	0.0	0.015	0.005	0.011	0.027	0.0
HTR2C	P28335	False	5HT2C_HUMAN		CPI-CS0FBE83390	HTR2C	0.0	0.002	0.007	0.0	0.002	0.009	0.0	0.027	0.0
HTR7	P34969	False	5HT7R_HUMAN		CPI-CS059692236	HTR7	0.0	0.0	0.007	0.0	0.015	0.006	0.011	0.027	0.004
TACR1	P25103	False	NK1R_HUMAN		CPI-SS02A8BD654	TACR1	0.001	0.0	0.007	0.0	0.002	0.021	0.004	0.0	0.0
TACR1	P25103	False	NK1R_HUMAN		CPI-SS0CDDDEE9F	TACR1	0.001	0.0	0.007	0.0	0.002	0.021	0.004	0.0	0.0
TNFRSF14	Q92956	False	TNR14_HUMAN		CPI-SS0879B8E95	TNFRSF14	0.0	0.041	0.034	0.04	0.0	0.003	0.009	0.0	0.004
KDR	P35968	False	VGFR2_HUMAN		CPI-SS0C03F7CDC	KDR	0.201	0.978	0.94	0.02	0.153	0.05	0.009	0.0	0.046
FRZB	Q92765	False	SFRP3_HUMAN		CPI-SS0A10C2A8F	FRZB	0.198	0.019	0.087	0.013	0.069	0.133	0.404	0.108	0.032
FRZB	Q92765	False	SFRP3_HUMAN		CPI-SS0EE63435D	FRZB	0.198	0.019	0.087	0.013	0.069	0.133	0.404	0.108	0.032
FRZB	Q92765	False	SFRP3_HUMAN		CPI-SS007954822	FRZB	0.198	0.019	0.087	0.013	0.069	0.133	0.404	0.108	0.032
SFRP1	Q8N474	False	SFRP1_HUMAN		CPI-SS0DF9024C0	SFRP1	0.889	0.472	0.322	0.081	0.72	0.817	0.461	0.378	0.31
SFRP1	Q8N474	False	SFRP1_HUMAN		CPI-SS036707F4C	SFRP1	0.889	0.472	0.322	0.081	0.72	0.817	0.461	0.378	0.31
SFRP1	Q8N474	False	SFRP1_HUMAN		CPI-SS0F1E79A03	SFRP1	0.889	0.472	0.322	0.081	0.72	0.817	0.461	0.378	0.31
SFRP2	Q96HF1	False	SFRP2_HUMAN		CPI-SS0E9BE6A4E	SFRP2	0.004	0.002	0.0	0.0	0.002	0.067	0.002	0.0	0.0
SFRP2	Q96HF1	False	SFRP2_HUMAN		CPI-SS0661CE946	SFRP2	0.004	0.002	0.0	0.0	0.002	0.067	0.002	0.0	0.0
SFRP2	Q96HF1	False	SFRP2_HUMAN		CPI-SS03F33B34C	SFRP2	0.004	0.002	0.0	0.0	0.002	0.067	0.002	0.0	0.0
PTGIR	P43119	False	PI2R_HUMAN		CPI-CS09A35DD21	PTGIR	0.004	0.005	0.02	0.0	0.077	0.049	0.112	0.0	0.0
