id_cp_interaction	interacting_pair	partner_a	partner_b	gene_a	gene_b	secreted	receptor_a	receptor_b	annotation_strategy	is_integrin	directionality	classification	CM|CM	CM|EN	CM|EP	CM|FB	CM|PR	CM|SM	CM|UN	EN|CM	EN|EN	EN|EP	EN|FB	EN|PR	EN|SM	EN|UN	EP|CM	EP|EN	EP|EP	EP|FB	EP|PR	EP|SM	EP|UN	FB|CM	FB|EN	FB|EP	FB|FB	FB|PR	FB|SM	FB|UN	PR|CM	PR|EN	PR|EP	PR|FB	PR|PR	PR|SM	PR|UN	SM|CM	SM|EN	SM|EP	SM|FB	SM|PR	SM|SM	SM|UN	UN|CM	UN|EN	UN|EP	UN|FB	UN|PR	UN|SM	UN|UN
CPI-SS0EA023E51	TENM3_ADGRL3	simple:Q9P273	simple:Q9HAR2	TENM3	ADGRL3	False	False	True	curated	False	Ligand-Receptor	Signaling by Teneurin	0.068	0.044	0.0	0.055	0.098	0.0	0.048	0.049	0.025	0.0	0.036	0.079	0.0	0.029	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.136	0.112	0.0	0.124	0.167	0.0	0.116	0.144	0.119	0.0	0.131	0.174	0.0	0.123	0.049	0.025	0.0	0.036	0.079	0.0	0.029	0.053	0.029	0.0	0.04	0.083	0.0	0.033
CPI-SS01F00A48A	TENM4_ADGRL3	simple:Q6N022	simple:Q9HAR2	TENM4	ADGRL3	False	False	True	curated	False	Ligand-Receptor	Signaling by Teneurin	0.064	0.04	0.0	0.051	0.094	0.0	0.044	0.039	0.015	0.0	0.027	0.07	0.0	0.019	0.041	0.017	0.0	0.028	0.071	0.0	0.021	0.071	0.046	0.0	0.058	0.101	0.0	0.05	0.079	0.054	0.0	0.066	0.109	0.0	0.058	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.053	0.029	0.0	0.04	0.083	0.0	0.033
CPI-SS08BFFB96E	FLRT3_ADGRL2	simple:Q9NZU0	simple:O95490	FLRT3	ADGRL2	False	False	True	curated	False	Ligand-Receptor	Signaling by Fibronectin	0.031	0.298	0.049	0.247	0.223	0.138	0.03	0.037	0.304	0.055	0.253	0.229	0.144	0.036	0.106	0.372	0.123	0.321	0.298	0.213	0.104	0.037	0.304	0.055	0.253	0.229	0.144	0.036	0.129	0.395	0.146	0.344	0.321	0.236	0.127	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.037	0.303	0.054	0.252	0.229	0.144	0.035
CPI-CS049AAD8F5	TENM2_FLRT3_complex_ADGRL2	complex:TENM2_FLRT3_complex	simple:O95490		ADGRL2	False	True	True	curated	False	Ligand-Receptor	Signaling by Fibronectin	0.031	0.298	0.049	0.247	0.223	0.138	0.03	0.029	0.296	0.047	0.245	0.221	0.136	0.028	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.037	0.304	0.055	0.253	0.229	0.144	0.036	0.043	0.309	0.06	0.258	0.235	0.15	0.041	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.032	0.298	0.049	0.247	0.224	0.139	0.03
CPI-SS083BB1EB3	TENM1_ADGRL2	simple:Q9UKZ4	simple:O95490	TENM1	ADGRL2	False	False	True	curated	False	Ligand-Receptor	Signaling by Teneurin	0.03	0.297	0.048	0.245	0.222	0.137	0.029	0.029	0.296	0.047	0.245	0.221	0.136	0.028	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.296	0.047	0.245	0.222	0.136	0.028	0.091	0.358	0.109	0.306	0.283	0.198	0.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.034	0.3	0.051	0.249	0.226	0.141	0.032
CPI-SS021718DBF	TENM2_ADGRL2	simple:Q9NT68	simple:O95490	TENM2	ADGRL2	False	False	True	curated	False	Ligand-Receptor	Signaling by Teneurin	0.04	0.307	0.058	0.256	0.232	0.147	0.039	0.029	0.296	0.047	0.245	0.221	0.136	0.028	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.119	0.386	0.137	0.335	0.311	0.226	0.118	0.043	0.309	0.06	0.258	0.235	0.15	0.041	0.056	0.322	0.073	0.271	0.248	0.163	0.054	0.032	0.298	0.049	0.247	0.224	0.139	0.03
CPI-SS075F456AF	TENM3_ADGRL2	simple:Q9P273	simple:O95490	TENM3	ADGRL2	False	False	True	curated	False	Ligand-Receptor	Signaling by Teneurin	0.059	0.325	0.076	0.274	0.251	0.166	0.057	0.04	0.307	0.058	0.256	0.232	0.147	0.039	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.127	0.394	0.145	0.343	0.319	0.234	0.126	0.135	0.401	0.152	0.35	0.327	0.242	0.133	0.04	0.306	0.057	0.255	0.232	0.147	0.038	0.044	0.311	0.062	0.26	0.236	0.151	0.043
CPI-SS0FD44484F	TENM4_ADGRL2	simple:Q6N022	simple:O95490	TENM4	ADGRL2	False	False	True	curated	False	Ligand-Receptor	Signaling by Teneurin	0.055	0.322	0.073	0.271	0.247	0.162	0.054	0.03	0.297	0.048	0.246	0.222	0.137	0.029	0.032	0.298	0.049	0.247	0.224	0.139	0.03	0.062	0.328	0.079	0.277	0.254	0.169	0.06	0.07	0.336	0.087	0.285	0.262	0.177	0.068	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.044	0.311	0.062	0.26	0.236	0.151	0.043
CPI-SS0DE3B267F	GHRL_GHSR	simple:Q9UBU3	simple:Q92847	GHRL	GHSR	True	False	True	curated	False	Ligand-Receptor	Signaling by Growth hormone-releasing hormone	0.0	0.0	0.0	0.0	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.005	0.0	0.0	0.0	0.0	0.0	0.0	0.006	0.0	0.0	0.0	0.0	0.0	0.0	0.006	0.0	0.0	0.0	0.0	0.0	0.0	0.033	0.0	0.0	0.0	0.0	0.0	0.0	0.006	0.0	0.0
CPI-SS09F7A6011	PENK_GHSR	simple:P01210	simple:Q92847	PENK	GHSR	True	False	True	curated	False	Ligand-Receptor		0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.198	0.0	0.0	0.0	0.0	0.0	0.0	0.026	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.017	0.0	0.0
