id_cp_interaction	interacting_pair	partner_a	partner_b	gene_a	gene_b	secreted	receptor_a	receptor_b	annotation_strategy	is_integrin	directionality	classification	CM|CM	CM|EC	CM|EP	CM|PV	CM|SM	EC|CM	EC|EC	EC|EP	EC|PV	EC|SM	EP|CM	EP|EC	EP|EP	EP|PV	EP|SM	PV|CM	PV|EC	PV|EP	PV|PV	PV|SM	SM|CM	SM|EC	SM|EP	SM|PV	SM|SM
CPI-SS015B29D3F	APOA1_ABCA1	simple:P02647	simple:O95477	APOA1	ABCA1	True	False	False	curated	False	Ligand-Receptor	Signaling by Apolipoprotein	0.087	0.111	0.153	0.131	0.093	0.032	0.057	0.098	0.076	0.038	0.843	0.868	0.91	0.887	0.85	0.037	0.062	0.103	0.081	0.043	0.039	0.063	0.105	0.082	0.045
CPI-SS0BA601DC4	BDNF_NTRK2	simple:P23560	simple:Q16620	BDNF	NTRK2	True	False	True	curated	False	Ligand-Receptor	Signaling by Brain-derived neurotrophic factor	0.008	0.005	0.008	0.047	0.04	0.012	0.009	0.012	0.051	0.044	0.006	0.004	0.007	0.046	0.039	0.02	0.017	0.02	0.059	0.052	0.046	0.043	0.046	0.085	0.078
CPI-SS0E3AA6B7B	NTN4_NTRK2	simple:Q9HB63	simple:Q16620	NTN4	NTRK2	True	False	True	curated	False	Ligand-Receptor	Signaling by Netrin	0.006	0.003	0.006	0.045	0.038	0.005	0.002	0.005	0.044	0.037	0.013	0.011	0.013	0.053	0.046	0.013	0.01	0.013	0.053	0.045	0.134	0.131	0.134	0.173	0.166
CPI-SS093E05DD4	NTF3_NTRK2	simple:P20783	simple:Q16620	NTF3	NTRK2	True	False	True	curated	False	Ligand-Receptor	Signaling by Neurotrophin	0.005	0.002	0.005	0.044	0.037	0.005	0.002	0.005	0.044	0.037	0.0	0.0	0.0	0.0	0.0	0.005	0.003	0.006	0.045	0.038	0.012	0.009	0.012	0.051	0.044
CPI-SS09A6C048C	CLSTN2_NRXN1	simple:Q9H4D0	simple:Q9ULB1	CLSTN2	NRXN1	False	False	False	curated	False	Ligand-Receptor	Signaling by Calsyntenin	0.354	0.074	0.055	0.122	0.072	0.318	0.038	0.019	0.087	0.036	0.32	0.04	0.021	0.088	0.038	0.325	0.045	0.026	0.093	0.043	0.326	0.046	0.027	0.095	0.044
CPI-SS0E5F8A5F7	LRRTM2_NRXN1	simple:O43300	simple:Q9ULB1	LRRTM2	NRXN1	False	False	False	curated	False	Ligand-Receptor	Signaling by Leucine-Rich Repeat Transmembrane Neuronal Protein	0.317	0.037	0.019	0.086	0.036	0.317	0.038	0.019	0.086	0.036	0.317	0.037	0.018	0.085	0.035	0.317	0.038	0.019	0.086	0.036	0.0	0.0	0.0	0.0	0.0
CPI-SS0626DF0EB	LRRTM3_NRXN1	simple:Q86VH5	simple:Q9ULB1	LRRTM3	NRXN1	False	False	False	curated	False	Ligand-Receptor	Signaling by Leucine-Rich Repeat Transmembrane Neuronal Protein	0.422	0.142	0.123	0.191	0.14	0.323	0.044	0.025	0.092	0.042	0.319	0.04	0.021	0.088	0.038	0.33	0.05	0.031	0.099	0.048	0.0	0.0	0.0	0.0	0.0
CPI-SS03466C597	LRRTM4_NRXN1	simple:Q86VH4	simple:Q9ULB1	LRRTM4	NRXN1	False	False	False	curated	False	Ligand-Receptor	Signaling by Leucine-Rich Repeat Transmembrane Neuronal Protein	0.349	0.069	0.05	0.117	0.067	0.348	0.068	0.049	0.117	0.066	0.355	0.075	0.056	0.124	0.073	0.482	0.202	0.183	0.251	0.201	0.33	0.05	0.031	0.099	0.048
CPI-SS0D2DF7881	NLGN1_NRXN1	simple:Q8N2Q7	simple:Q9ULB1	NLGN1	NRXN1	False	False	False	curated	False	Ligand-Receptor	Signaling by Neuroligin	0.47	0.191	0.172	0.239	0.189	0.32	0.041	0.022	0.089	0.039	0.324	0.044	0.025	0.093	0.043	0.341	0.062	0.043	0.11	0.06	0.367	0.087	0.068	0.135	0.085
CPI-SS0FA378947	NLGN4X_NRXN1	simple:Q8N0W4	simple:Q9ULB1	NLGN4X	NRXN1	False	False	False	curated	False	Ligand-Receptor	Signaling by Neuroligin	0.345	0.065	0.046	0.114	0.063	0.365	0.085	0.066	0.134	0.083	0.324	0.044	0.025	0.093	0.042	0.411	0.131	0.112	0.18	0.13	0.466	0.186	0.167	0.235	0.184
CPI-SS0CCB5F46B	NLGN4Y_NRXN1	simple:Q8NFZ3	simple:Q9ULB1	NLGN4Y	NRXN1	False	False	False	curated	False	Ligand-Receptor	Signaling by Neuroligin	0.386	0.106	0.087	0.154	0.104	0.55	0.27	0.251	0.319	0.268	0.366	0.086	0.067	0.135	0.084	0.43	0.151	0.132	0.199	0.149	0.0	0.0	0.0	0.0	0.0
CPI-SS0FDAB7BA8	CXCL10_DPP4	simple:P02778	simple:P27487	CXCL10	DPP4	True	False	True	curated	False	Ligand-Receptor	Signaling by Chemokines	0.001	0.002	0.01	0.002	0.007	0.0	0.002	0.01	0.002	0.007	0.001	0.002	0.01	0.002	0.007	0.002	0.003	0.011	0.003	0.008	0.0	0.0	0.0	0.0	0.0
CPI-SS0B1B18F2D	CXCL12_DPP4	simple:P48061	simple:P27487	CXCL12	DPP4	True	False	True	curated	False	Ligand-Receptor	Signaling by Chemokines	0.12	0.121	0.129	0.121	0.126	0.009	0.011	0.019	0.01	0.016	0.041	0.043	0.051	0.043	0.048	0.071	0.073	0.081	0.073	0.078	0.232	0.234	0.242	0.233	0.239
CPI-SS0CDAC688B	CXCL2_DPP4	simple:P19875	simple:P27487	CXCL2	DPP4	True	False	True	curated	False	Ligand-Receptor	Signaling by Chemokines	0.001	0.002	0.01	0.002	0.007	0.002	0.004	0.012	0.003	0.009	0.015	0.016	0.024	0.016	0.021	0.008	0.01	0.018	0.009	0.015	0.0	0.0	0.0	0.0	0.0
CPI-SS0A28DCA72	CXCL12_CXCR4	simple:P48061	simple:P61073	CXCL12	CXCR4	True	False	True	curated	False	Ligand-Receptor	Signaling by Chemokines	0.124	0.35	0.13	0.147	0.126	0.013	0.24	0.02	0.036	0.015	0.046	0.272	0.052	0.069	0.048	0.076	0.302	0.082	0.099	0.078	0.236	0.462	0.243	0.259	0.238
CPI-SS0669CC233	CXCL14_CXCR4	simple:O95715	simple:P61073	CXCL14	CXCR4	True	False	True	curated	False	Ligand-Receptor	Signaling by Chemokines	0.01	0.236	0.016	0.033	0.012	0.005	0.231	0.012	0.028	0.007	0.021	0.247	0.028	0.044	0.023	0.022	0.248	0.029	0.045	0.024	0.008	0.235	0.015	0.031	0.011
CPI-CS0917E42F5	DHEAsulfate_bySULT1E1_PPARG	complex:DHEAsulfate_bySULT1E1	simple:P37231		PPARG	True	False	True	curated	False	Ligand-Receptor	Signaling by Dehydroepiandrosterone	0.02	0.124	0.22	0.119	0.153	0.011	0.114	0.211	0.109	0.144	0.241	0.344	0.441	0.339	0.373	0.019	0.122	0.219	0.117	0.151	0.074	0.177	0.274	0.172	0.207
CPI-SS0C70ADA28	EFNA5_EPHA3	simple:P52803	simple:P29320	EFNA5	EPHA3	True	False	True	curated	False	Ligand-Receptor	Signaling by Ephrin	0.294	0.139	0.141	0.25	0.19	0.243	0.088	0.091	0.199	0.139	0.202	0.047	0.05	0.158	0.098	0.4	0.246	0.248	0.356	0.297	0.206	0.051	0.053	0.161	0.102
CPI-SS0FC01B947	EFNA5_EPHA4	simple:P52803	simple:P54764	EFNA5	EPHA4	False	False	True	curated	False	Ligand-Receptor	Signaling by Ephrin	0.342	0.145	0.143	0.163	0.149	0.291	0.095	0.092	0.112	0.098	0.25	0.054	0.051	0.071	0.057	0.449	0.252	0.249	0.27	0.256	0.254	0.057	0.054	0.075	0.061
CPI-SS087E0E3FB	EFNB2_EPHA4	simple:P52799	simple:P54764	EFNB2	EPHA4	False	True	True	curated	False	Ligand-Receptor	Signaling by Ephrin	0.245	0.048	0.045	0.066	0.052	0.676	0.479	0.477	0.497	0.483	0.267	0.07	0.067	0.088	0.074	0.36	0.163	0.161	0.181	0.167	0.299	0.102	0.099	0.12	0.106
CPI-SS09E3F5044	EFNA5_EPHA5	simple:P52803	simple:P54756	EFNA5	EPHA5	False	False	True	curated	False	Ligand-Receptor	Signaling by Ephrin	0.131	0.134	0.131	0.135	0.14	0.081	0.084	0.08	0.085	0.09	0.04	0.043	0.039	0.044	0.049	0.238	0.241	0.238	0.242	0.247	0.043	0.046	0.043	0.047	0.052
CPI-SS028688B7B	EFNA5_EPHA7	simple:P52803	simple:Q15375	EFNA5	EPHA7	False	False	True	curated	False	Ligand-Receptor	Signaling by Ephrin	0.417	0.153	0.147	0.173	0.187	0.366	0.103	0.096	0.122	0.136	0.325	0.062	0.055	0.081	0.095	0.524	0.26	0.254	0.279	0.293	0.329	0.065	0.059	0.084	0.099
CPI-SS068ACD209	EFNA5_EPHB2	simple:P52803	simple:P29323	EFNA5	EPHB2	False	False	True	curated	False	Ligand-Receptor	Signaling by Ephrin	0.176	0.134	0.142	0.175	0.281	0.126	0.084	0.092	0.124	0.231	0.085	0.043	0.051	0.083	0.19	0.283	0.241	0.249	0.281	0.388	0.088	0.046	0.054	0.086	0.193
CPI-SS0ECC9DF3E	EFNB2_EPHB2	simple:P52799	simple:P29323	EFNB2	EPHB2	False	True	True	curated	False	Ligand-Receptor	Signaling by Ephrin	0.079	0.037	0.045	0.077	0.184	0.51	0.468	0.476	0.508	0.615	0.101	0.059	0.067	0.099	0.206	0.194	0.152	0.16	0.192	0.299	0.133	0.091	0.099	0.131	0.238
CPI-SS052119104	AREG_EGFR	simple:P15514	simple:P00533	AREG	EGFR	True	False	True	curated	False	Ligand-Receptor	Signaling by Epidermal growth factor	0.06	0.053	0.159	0.212	0.155	0.058	0.051	0.158	0.21	0.154	0.083	0.076	0.183	0.235	0.179	0.06	0.053	0.159	0.212	0.155	0.099	0.092	0.198	0.25	0.194
CPI-SS004C23DCE	EREG_EGFR	simple:O14944	simple:P00533	EREG	EGFR	True	False	True	curated	False	Ligand-Receptor	Signaling by Epidermal growth factor	0.022	0.015	0.121	0.173	0.117	0.0	0.0	0.0	0.0	0.0	0.023	0.016	0.123	0.175	0.118	0.022	0.015	0.122	0.174	0.117	0.028	0.02	0.127	0.179	0.123
CPI-SS07E5C3060	TGFA_EGFR	simple:P01135	simple:P00533	TGFA	EGFR	True	False	True	curated	False	Ligand-Receptor	Signaling by Transforming growth factor	0.022	0.015	0.122	0.174	0.118	0.022	0.015	0.121	0.173	0.117	0.027	0.02	0.126	0.178	0.122	0.022	0.014	0.121	0.173	0.117	0.0	0.0	0.0	0.0	0.0
CPI-SS0FC42EC80	EREG_ERBB4	simple:O14944	simple:Q15303	EREG	ERBB4	True	False	True	curated	False	Ligand-Receptor	Signaling by Epidermal growth factor	0.651	0.012	0.032	0.015	0.023	0.0	0.0	0.0	0.0	0.0	0.653	0.014	0.033	0.016	0.024	0.652	0.013	0.032	0.015	0.023	0.657	0.018	0.037	0.021	0.028
CPI-SS0BD5C2A23	NRG1_ERBB4	simple:Q02297	simple:Q15303	NRG1	ERBB4	True	True	True	curated	False	Ligand-Receptor	Signaling by Neuregulin	0.666	0.028	0.047	0.03	0.038	0.72	0.081	0.1	0.083	0.091	0.69	0.051	0.07	0.053	0.061	0.683	0.044	0.063	0.046	0.054	0.685	0.046	0.065	0.049	0.057
CPI-SS0D5E30C6C	NRG3_ERBB4	simple:P56975	simple:Q15303	NRG3	ERBB4	True	False	True	curated	False	Ligand-Receptor	Signaling by Neuregulin	0.776	0.137	0.156	0.14	0.148	1.006	0.367	0.387	0.37	0.378	1.071	0.432	0.451	0.435	0.443	1.486	0.847	0.866	0.849	0.857	1.459	0.82	0.839	0.823	0.831
