Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	cardiac muscle cell differentiation (GO:0055007)	1/24	1.134077e-01	3.799699e-01	0	0	8.729469e+00	1.900201e+01	TTN
GO_Biological_Process_2021	positive regulation of peptidyl-threonine phosphorylation (GO:0010800)	1/25	1.178460e-01	3.799699e-01	0	0	8.365320e+00	1.788821e+01	EGF
GO_Biological_Process_2021	regulation of calcium ion import (GO:0090279)	1/25	1.178460e-01	3.799699e-01	0	0	8.365320e+00	1.788821e+01	EGF
GO_Biological_Process_2021	ventricular cardiac muscle tissue development (GO:0003229)	1/25	1.178460e-01	3.799699e-01	0	0	8.365320e+00	1.788821e+01	TNNT2
GO_Biological_Process_2021	positive regulation of epithelial cell proliferation (GO:0050679)	2/123	1.261398e-01	3.799699e-01	0	0	3.335976e+00	6.906687e+00	EGF;EMC10
GO_Biological_Process_2021	positive regulation of nuclear division (GO:0051785)	1/27	1.266566e-01	3.799699e-01	0	0	7.721057e+00	1.595383e+01	EGF
GO_Biological_Process_2021	nucleobase-containing small molecule interconversion (GO:0015949)	1/27	1.266566e-01	3.799699e-01	0	0	7.721057e+00	1.595383e+01	NUDT13
GO_Biological_Process_2021	mitotic chromosome condensation (GO:0007076)	1/27	1.266566e-01	3.799699e-01	0	0	7.721057e+00	1.595383e+01	TTN
GO_Biological_Process_2021	negative regulation of plasma membrane bounded cell projection assembly (GO:0120033)	1/27	1.266566e-01	3.799699e-01	0	0	7.721057e+00	1.595383e+01	RAP1GAP
GO_Biological_Process_2021	regulation of epidermal growth factor-activated receptor activity (GO:0007176)	1/27	1.266566e-01	3.799699e-01	0	0	7.721057e+00	1.595383e+01	EGF
GO_Biological_Process_2021	platelet degranulation (GO:0002576)	2/125	1.294828e-01	3.839834e-01	0	0	3.281400e+00	6.707863e+00	EGF;TTN
GO_Biological_Process_2021	homologous chromosome pairing at meiosis (GO:0007129)	1/29	1.353802e-01	3.875814e-01	0	0	7.168831e+00	1.433528e+01	RNF212B
GO_Biological_Process_2021	Golgi organization (GO:0007030)	2/130	1.379294e-01	3.875814e-01	0	0	3.152423e+00	6.244994e+00	PLK5;GOLGA8N
GO_Biological_Process_2021	positive regulation of phosphate metabolic process (GO:0045937)	1/30	1.397096e-01	3.875814e-01	0	0	6.921282e+00	1.362239e+01	EGF
GO_Biological_Process_2021	regulation of cation transmembrane transport (GO:1904062)	1/30	1.397096e-01	3.875814e-01	0	0	6.921282e+00	1.362239e+01	KCNIP2
GO_Biological_Process_2021	cardiac muscle cell action potential (GO:0086001)	1/30	1.397096e-01	3.875814e-01	0	0	6.921282e+00	1.362239e+01	KCNIP2
GO_Biological_Process_2021	negative regulation of Notch signaling pathway (GO:0045746)	1/30	1.397096e-01	3.875814e-01	0	0	6.921282e+00	1.362239e+01	EGF
GO_Biological_Process_2021	regulation of cell motility (GO:2000145)	2/133	1.430548e-01	3.911211e-01	0	0	3.079763e+00	5.988685e+00	EGF;NRG4
GO_Biological_Process_2021	regulation of potassium ion transport (GO:0043266)	1/31	1.440175e-01	3.911211e-01	0	0	6.690236e+00	1.296448e+01	KCNIP2
GO_Biological_Process_2021	metal ion export (GO:0070839)	1/32	1.483040e-01	3.937872e-01	0	0	6.474096e+00	1.235575e+01	KCNIP2
GO_Biological_Process_2021	endodermal cell differentiation (GO:0035987)	1/32	1.483040e-01	3.937872e-01	0	0	6.474096e+00	1.235575e+01	COL7A1
GO_Biological_Process_2021	regulation of protein localization to cell surface (GO:2000008)	1/33	1.525693e-01	3.937872e-01	0	0	6.271465e+00	1.179121e+01	EGF
GO_Biological_Process_2021	positive regulation of DNA binding (GO:0043388)	1/34	1.568135e-01	3.937872e-01	0	0	6.081114e+00	1.126647e+01	EGF
GO_Biological_Process_2021	positive regulation of epidermal growth factor receptor signaling pathway (GO:0045742)	1/34	1.568135e-01	3.937872e-01	0	0	6.081114e+00	1.126647e+01	EGF
GO_Biological_Process_2021	organelle disassembly (GO:1903008)	1/34	1.568135e-01	3.937872e-01	0	0	6.081114e+00	1.126647e+01	PLK5
GO_Biological_Process_2021	ventricular cardiac muscle tissue morphogenesis (GO:0055010)	1/34	1.568135e-01	3.937872e-01	0	0	6.081114e+00	1.126647e+01	TNNT2
GO_Biological_Process_2021	muscle cell differentiation (GO:0042692)	1/35	1.610366e-01	3.937872e-01	0	0	5.901961e+00	1.077771e+01	NEBL
GO_Biological_Process_2021	regulation of receptor internalization (GO:0002090)	1/36	1.652387e-01	3.937872e-01	0	0	5.733045e+00	1.032157e+01	EGF
GO_Biological_Process_2021	regulation of cell cycle G1/S phase transition (GO:1902806)	1/36	1.652387e-01	3.937872e-01	0	0	5.733045e+00	1.032157e+01	PLK5
GO_Biological_Process_2021	endoderm formation (GO:0001706)	1/36	1.652387e-01	3.937872e-01	0	0	5.733045e+00	1.032157e+01	COL7A1
GO_Biological_Process_2021	positive regulation of mitotic nuclear division (GO:0045840)	1/36	1.652387e-01	3.937872e-01	0	0	5.733045e+00	1.032157e+01	EGF
GO_Biological_Process_2021	positive regulation of signaling receptor activity (GO:2000273)	1/37	1.694201e-01	3.937872e-01	0	0	5.573513e+00	9.895070e+00	EGF
GO_Biological_Process_2021	negative regulation of G1/S transition of mitotic cell cycle (GO:2000134)	1/37	1.694201e-01	3.937872e-01	0	0	5.573513e+00	9.895070e+00	PLK5
