id_cp_interaction	interacting_pair	partner_a	partner_b	gene_a	gene_b	secreted	receptor_a	receptor_b	annotation_strategy	is_integrin	directionality	classification	EN_V|EN_V	EN_V|FB_V	EN_V|PR	EN_V|SM	EN_V|UN	FB_V|EN_V	FB_V|FB_V	FB_V|PR	FB_V|SM	FB_V|UN	PR|EN_V	PR|FB_V	PR|PR	PR|SM	PR|UN	SM|EN_V	SM|FB_V	SM|PR	SM|SM	SM|UN	UN|EN_V	UN|FB_V	UN|PR	UN|SM	UN|UN
CPI-SS0D1EF9598	PENK_OPRK1	simple:P01210	simple:P41145	PENK	OPRK1	True	False	True	curated	False	Ligand-Receptor	Signaling by Opioid	0.002	0.007	0.001	0.0	0.0	0.007	0.012	0.006	0.0	0.0	0.002	0.008	0.002	0.0	0.0	0.003	0.008	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS02461AE98	HCRT_HCRTR2	simple:O43612	simple:O43614	HCRT	HCRTR2	True	False	True	curated	False	Ligand-Receptor	Signaling by Orexin	0.001	0.002	0.001	0.0	0.0	0.001	0.002	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS0483CE4ED	PTHLH_PTH1R	simple:P12272	simple:Q03431	PTHLH	PTH1R	True	False	True	curated	False	Ligand-Receptor	Signaling by Parathyroid hormone	0.019	0.033	0.039	0.03	0.0	0.014	0.028	0.034	0.025	0.0	0.009	0.023	0.029	0.02	0.0	0.017	0.031	0.037	0.028	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS02CCE14A7	ADCYAP1_VIPR2	simple:P18509	simple:P41587	ADCYAP1	VIPR2	True	False	True	curated	False	Ligand-Receptor	Signaling by Pituitary adenylate	0.001	0.002	0.002	0.0	0.0	0.002	0.002	0.003	0.0	0.0	0.001	0.002	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS0CB25BBAE	SCT_VIPR2	simple:P09683	simple:P41587	SCT	VIPR2	True	False	True	curated	False	Ligand-Receptor	Signaling by Secretin	0.001	0.002	0.002	0.0	0.0	0.001	0.002	0.003	0.0	0.0	0.002	0.003	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS05B60E59C	VIP_VIPR2	simple:P01282	simple:P41587	VIP	VIPR2	True	False	True	curated	False	Ligand-Receptor	Signaling by Vasoactive Intestinal Peptide	0.005	0.006	0.006	0.0	0.0	0.008	0.009	0.009	0.0	0.0	0.001	0.002	0.003	0.0	0.0	0.002	0.003	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS07361522F	PGF_FLT1	simple:P49763	simple:P17948	PGF	FLT1	True	False	True	curated	False	Ligand-Receptor	Signaling by Placenta growth factor	1.666	0.806	0.857	1.01	1.13	1.028	0.168	0.219	0.372	0.492	1.179	0.319	0.37	0.523	0.643	1.071	0.211	0.262	0.415	0.535	1.126	0.266	0.317	0.47	0.59
CPI-SS0B9B3870A	VEGFA_FLT1	simple:P15692	simple:P17948	VEGFA	FLT1	True	False	True	curated	False	Ligand-Receptor	Signaling by Vascular endothelial growth factor	0.975	0.115	0.165	0.319	0.439	1.005	0.145	0.196	0.349	0.469	0.981	0.121	0.171	0.325	0.444	0.988	0.128	0.179	0.332	0.452	0.0	0.0	0.0	0.0	0.0
CPI-SC0B51DC960	PGF_FLT1_complex	simple:P49763	complex:FLT1_complex	PGF		True	False	True	curated	False	Ligand-Receptor	Signaling by Placenta growth factor	1.446	0.713	0.717	0.713	1.039	0.808	0.074	0.079	0.074	0.401	0.959	0.225	0.23	0.226	0.552	0.851	0.118	0.122	0.118	0.444	0.907	0.173	0.178	0.173	0.499
CPI-SC0AFC650CD	VEGFA_FLT1_complex	simple:P15692	complex:FLT1_complex	VEGFA		True	False	True	curated	False	Ligand-Receptor	Signaling by Vascular endothelial growth factor	0.755	0.021	0.026	0.021	0.348	0.785	0.051	0.056	0.051	0.378	0.761	0.027	0.032	0.027	0.354	0.769	0.035	0.04	0.035	0.361	0.0	0.0	0.0	0.0	0.0
