gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	gene	CM	EC	EP	PV
CDH7	Q9ULB5	False	CADH7_HUMAN		CPI-SS0BE3D537D	CDH7	0.003	0.007	0.0	0.015
CADM1	Q9BY67	False	CADM1_HUMAN		CPI-SS0889E281D	CADM1	0.373	0.093	0.146	0.145
CEACAM5	P06731	False	CEAM5_HUMAN		CPI-SS0322747C2	CEACAM5	0.0	0.0	0.022	0.0
CEACAM6	P40199	False	CEAM6_HUMAN		CPI-SS001BF66E8	CEACAM6	0.001	0.0	0.075	0.001
CD44	P16070	False	CD44_HUMAN		CPI-SS06F83AE58	CD44	0.02	0.146	0.023	0.204
CLSTN2	Q9H4D0	False	CSTN2_HUMAN		CPI-SS01A7DC3C1	CLSTN2	0.058	0.002	0.018	0.01
LRRTM2	O43300	False	LRRT2_HUMAN		CPI-SS0C0329180	LRRTM2	0.001	0.003	0.0	0.002
LRRTM3	Q86VH5	False	LRRT3_HUMAN		CPI-SS026EC3854	LRRTM3	0.17	0.013	0.009	0.028
LRRTM4	Q86VH4	False	LRRT4_HUMAN		CPI-SS0F97A06CD	LRRTM4	0.068	0.055	0.051	0.328
NLGN1	Q8N2Q7	False	NLGN1_HUMAN		CPI-SS0731F750C	NLGN1	0.261	0.01	0.026	0.031
NLGN4X	Q8N0W4	False	NLGNX_HUMAN		CPI-SS0F9118AB4	NLGN4X	0.043	0.085	0.015	0.122
NLGN4Y	Q8NFZ3	False	NLGNY_HUMAN		CPI-SS0837C7966	NLGN4Y	0.112	0.408	0.105	0.202
THBS1	P07996	False	TSP1_HUMAN		CPI-SS0C93E48D7	THBS1	0.084	0.285	0.195	0.226
APOA1	P02647	False	APOA1_HUMAN		CPI-SC0FE3CE9D1	APOA1	0.137	0.03	2.374	0.043
APOA2	P02652	False	APOA2_HUMAN		CPI-SC0412566F3	APOA2	0.029	0.034	2.581	0.034
APOB	P04114	False	APOB_HUMAN		CPI-SC0EFFE8ACB	APOB	0.007	0.008	1.586	0.008
APOE	P02649	False	APOE_HUMAN		CPI-SC06C75F978	APOE	0.664	0.2	2.147	1.502
CLU	P10909	False	CLUS_HUMAN		CPI-SC046AFCFE9	CLU	0.213	0.038	1.147	0.034
AGT	P01019	False	ANGT_HUMAN		CPI-SS05996C8FD	AGT	0.025	0.003	0.797	0.015
APOA1	P02647	False	APOA1_HUMAN		CPI-SS015B29D3F	APOA1	0.137	0.03	2.374	0.043
BDNF	P23560	False	BDNF_HUMAN		CPI-SS0BA601DC4	BDNF	0.005	0.011	0.003	0.018
NTN4	Q9HB63	False	NET4_HUMAN		CPI-SS0E3AA6B7B	NTN4	0.003	0.001	0.046	0.013
NTF3	P20783	False	NTF3_HUMAN		CPI-SS093E05DD4	NTF3	0.001	0.0	0.0	0.001
CLSTN2	Q9H4D0	False	CSTN2_HUMAN		CPI-SS09A6C048C	CLSTN2	0.058	0.002	0.018	0.01
LRRTM2	O43300	False	LRRT2_HUMAN		CPI-SS0E5F8A5F7	LRRTM2	0.001	0.003	0.0	0.002
LRRTM3	Q86VH5	False	LRRT3_HUMAN		CPI-SS0626DF0EB	LRRTM3	0.17	0.013	0.009	0.028
LRRTM4	Q86VH4	False	LRRT4_HUMAN		CPI-SS03466C597	LRRTM4	0.068	0.055	0.051	0.328
NLGN1	Q8N2Q7	False	NLGN1_HUMAN		CPI-SS0D2DF7881	NLGN1	0.261	0.01	0.026	0.031
NLGN4X	Q8N0W4	False	NLGNX_HUMAN		CPI-SS0FA378947	NLGN4X	0.043	0.085	0.015	0.122
NLGN4Y	Q8NFZ3	False	NLGNY_HUMAN		CPI-SS0CCB5F46B	NLGN4Y	0.112	0.408	0.105	0.202
CCL22	O00626	False	CCL22_HUMAN		CPI-SS0AEC33FF1	CCL22	0.0	0.0	0.0	0.0
CXCL10	P02778	False	CXL10_HUMAN		CPI-SS0FDAB7BA8	CXCL10	0.0	0.0	0.0	0.002
CXCL12	P48061	False	SDF1_HUMAN		CPI-SS0B1B18F2D	CXCL12	0.205	0.024	0.05	0.114
CXCL2	P19875	False	CXCL2_HUMAN		CPI-SS0CDAC688B	CXCL2	0.002	0.004	0.078	0.026
CXCL10	P02778	False	CXL10_HUMAN		CPI-SS080683E15	CXCL10	0.0	0.0	0.0	0.002
CXCL12	P48061	False	SDF1_HUMAN		CPI-SS0A28DCA72	CXCL12	0.205	0.024	0.05	0.114
