id_cp_interaction	interacting_pair	partner_a	partner_b	gene_a	gene_b	secreted	receptor_a	receptor_b	annotation_strategy	is_integrin	directionality	classification	CM|CM	CM|EC	CM|EP	CM|PV	EC|CM	EC|EC	EC|EP	EC|PV	EP|CM	EP|EC	EP|EP	EP|PV	PV|CM	PV|EC	PV|EP	PV|PV
CPI-SS0D2DF7881	NLGN1_NRXN1	simple:Q8N2Q7	simple:Q9ULB1	NLGN1	NRXN1	False	False	False	curated	False	Ligand-Receptor	Signaling by Neuroligin	0.402	0.169	0.152	0.188	0.277	0.044	0.027	0.062	0.285	0.052	0.035	0.07	0.287	0.054	0.037	0.073
CPI-SS0FA378947	NLGN4X_NRXN1	simple:Q8N0W4	simple:Q9ULB1	NLGN4X	NRXN1	False	False	False	curated	False	Ligand-Receptor	Signaling by Neuroligin	0.293	0.06	0.044	0.079	0.314	0.081	0.064	0.1	0.279	0.046	0.029	0.064	0.333	0.1	0.083	0.118
CPI-SS0CCB5F46B	NLGN4Y_NRXN1	simple:Q8NFZ3	simple:Q9ULB1	NLGN4Y	NRXN1	False	False	False	curated	False	Ligand-Receptor	Signaling by Neuroligin	0.328	0.095	0.078	0.113	0.476	0.243	0.226	0.261	0.324	0.091	0.074	0.11	0.373	0.14	0.123	0.158
CPI-SS0AEC33FF1	CCL22_DPP4	simple:O00626	simple:P27487	CCL22	DPP4	True	False	True	curated	False	Ligand-Receptor	Signaling by Chemokines	0.0	0.003	0.024	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS0FDAB7BA8	CXCL10_DPP4	simple:P02778	simple:P27487	CXCL10	DPP4	True	False	True	curated	False	Ligand-Receptor	Signaling by Chemokines	0.0	0.003	0.025	0.002	0.0	0.003	0.025	0.002	0.0	0.0	0.0	0.0	0.001	0.004	0.025	0.003
CPI-SS0B1B18F2D	CXCL12_DPP4	simple:P48061	simple:P27487	CXCL12	DPP4	True	False	True	curated	False	Ligand-Receptor	Signaling by Chemokines	0.103	0.106	0.127	0.105	0.012	0.015	0.037	0.014	0.025	0.028	0.05	0.027	0.057	0.06	0.082	0.059
CPI-SS0CDAC688B	CXCL2_DPP4	simple:P19875	simple:P27487	CXCL2	DPP4	True	False	True	curated	False	Ligand-Receptor	Signaling by Chemokines	0.001	0.004	0.026	0.003	0.002	0.005	0.026	0.004	0.039	0.042	0.063	0.041	0.013	0.016	0.037	0.015
CPI-SS080683E15	CXCL10_CXCR3	simple:P02778	simple:P49682	CXCL10	CXCR3	True	False	True	curated	False	Ligand-Receptor	Signaling by Chemokines	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0
CPI-SS0A28DCA72	CXCL12_CXCR4	simple:P48061	simple:P61073	CXCL12	CXCR4	True	False	True	curated	False	Ligand-Receptor	Signaling by Chemokines	0.107	0.271	0.112	0.12	0.017	0.18	0.021	0.03	0.029	0.193	0.034	0.043	0.062	0.225	0.066	0.075
CPI-SS0669CC233	CXCL14_CXCR4	simple:O95715	simple:P61073	CXCL14	CXCR4	True	False	True	curated	False	Ligand-Receptor	Signaling by Chemokines	0.012	0.175	0.017	0.025	0.006	0.169	0.011	0.019	0.029	0.193	0.034	0.043	0.025	0.188	0.029	0.038
