gene	mean	CM_3_mean	CM_3_positive_frac	CM_6_mean	CM_6_positive_frac	log2FC	-log10 p-val	is_significant
C1orf43	0.43850413	0.43483752	0.3972945891783567	0.62148887	0.775	0.51515263	5.213684	1
SHE	0.009018155	0.0042319414	0.0045090180360721445	0.24785073	0.425	5.8388963	13.108552	1
KCNN3	0.02709991	0.019117812	0.020541082164328657	0.4254045	0.5583333333333333	4.4686584	17.252779	1
SHC1	0.13911739	0.1280079	0.1317635270541082	0.693476	0.775	2.4366946	23.510841	1
ADAM15	0.027437339	0.01970697	0.021209084836339345	0.41317984	0.575	4.383039	17.51092	1
EFNA1	0.08067936	0.077315494	0.07982631930527723	0.24854048	0.39166666666666666	1.6833669	6.4752665	1
KRTCAP2	0.7909583	0.7836952	0.6240814963259853	1.1534011	0.9666666666666667	0.55747074	14.831209	1
AC234582.1	0.007973616	0.008133424	0.007849031396125585	-1.0186341e-10	0.0	-6.3634224	10.707308	1
MTX1	0.11094498	0.10816837	0.11088844355377421	0.24948382	0.43333333333333335	1.2049125	5.4749856	1
FDPS	0.49973494	0.49144906	0.42618570474281897	0.91321117	0.9166666666666666	0.8937712	16.262695	1
RUSC1	0.06915382	0.06667803	0.07030728122912491	0.19270125	0.36666666666666664	1.5296688	5.790234	1
LMNA	0.94307524	0.9295044	0.6913827655310621	1.6202621	0.9666666666666667	0.80162746	25.324024	1
AL590666.4	0.0059447126	0.006063862	0.007181028724114896	-1.0186341e-10	0.0	-5.945764	9.759273	1
CRABP2	0.73318285	0.73795325	0.572311289245157	0.49518558	0.5916666666666667	-0.57546437	6.4771523	1
PEAR1	0.0044559566	0.0022892768	0.002338009352037408	0.11257377	0.20833333333333334	5.559434	6.1014247	1
IFI16	0.14799121	0.13902798	0.13610554442217768	0.5952497	0.7	2.0973248	17.83625	1
AL590560.3	0.0051589333	0.005262335	0.005511022044088177	-1.0186341e-10	0.0	-5.744791	7.6805067	1
TAGLN2	0.026805216	0.008945316	0.008851035404141616	0.9180141	0.85	6.665359	35.524597	1
