gene	mean	CM_4_mean	CM_4_positive_frac	CM_5_mean	CM_5_positive_frac	log2FC	-log10 p-val	is_significant
AC090505.2	-5.5733835e-09	-3.6379788e-10	0.0	1.3969839e-09	0.0	2.5453206e-05	44.55244	0
XXYLT1	0.17198661	0.25181854	0.33496846531184304	0.054943293	0.029789419619928096	-2.1943185	44.55244	1
XXYLT1-AS1	-5.5733835e-09	-3.6379788e-10	0.0	1.3969839e-09	0.0	2.5453206e-05	44.55244	0
XXYLT1-AS2	0.00010240665	0.00017225719	0.000350385423966363	1.3969839e-09	0.0	-1.4449501	0.49843135	0
AC090018.2	0.0011012902	0.0018524982	0.002803083391730904	1.3969839e-09	0.0	-4.287229	2.245477	0
ACAP2	0.2942628	0.35572502	0.43763139453398736	0.20414779	0.10015408320493066	-0.8008474	18.762003	1
ACAP2-IT1	0.0038053393	0.0025327313	0.00350385423966363	0.0056708427	0.0030816640986132513	1.1322217	0.67652833	0
PPP1R2	0.42343628	0.55667675	0.6054660126138752	0.22810459	0.11145351823317926	-1.2867712	44.55244	1
AC069213.1	0.00022508035	0.00037861895	0.000700770847932726	1.3969839e-09	0.0	-2.2588575	0.7832757	0
APOD	0.00010191248	0.0001714259	0.000350385423966363	1.3969839e-09	0.0	-1.4405383	0.4984085	0
AC233280.1	0.011060559	0.013204023	0.015416958654519973	0.007919493	0.004108885464817668	-0.7302796	0.8301955	0
MUC20	0.044445727	0.02631125	0.038192011212333565	0.071023524	0.034411915767847974	1.4291743	5.8611546	1
MUC4	0.0005297865	0.00089127716	0.001401541695865452	1.3969839e-09	0.0	-3.3092682	1.2635629	0
LINC01983	-5.5733835e-09	-3.6379788e-10	0.0	1.3969839e-09	0.0	2.5453206e-05	44.55244	0
TNK2	0.27512726	0.2705626	0.3370707778556412	0.28179786	0.12994350282485875	0.058677003	0.25856394	0
AC124944.3	0.0024171036	0.0010498605	0.001751927119831815	0.004421273	0.002054442732408834	1.9752702	0.8555589	0
TNK2-AS1	0.0066069267	0.008063703	0.011562718990889979	0.004472353	0.002054442732408834	-0.8362869	0.736331	0
AC024937.3	-5.5733835e-09	-3.6379788e-10	0.0	1.3969839e-09	0.0	2.5453206e-05	44.55244	0
TFRC	0.24292175	0.26705146	0.3181499649614576	0.20753077	0.10529019003595275	-0.3636376	3.510325	0
LINC00885	-5.5733835e-09	-3.6379788e-10	0.0	1.3969839e-09	0.0	2.5453206e-05	44.55244	0
ZDHHC19	0.0004958276	0.0008341514	0.001051156271899089	1.3969839e-09	0.0	-3.2236362	0.9776455	0
SLC51A	0.005331227	0.004088032	0.004905395935529082	0.007153928	0.0035952747817154596	0.79248995	0.4782138	0
PCYT1A	0.20557168	0.26371926	0.34442887175893483	0.12031784	0.062146892655367235	-1.1315007	26.022478	1
AC069257.1	0.00013720617	0.00023079693	0.000350385423966363	1.3969839e-09	0.0	-1.7259258	0.49841127	0
TCTEX1D2	0.29404297	0.4413098	0.5112123335669236	0.07815215	0.03903441191576785	-2.4959164	44.55244	1
TM4SF19-AS1	0.0034702837	0.0033636997	0.005606166783461808	0.0036264642	0.0015408320493066256	0.10549358	0.04146902	0
TM4SF19	0.00016534701	0.0002781355	0.000350385423966363	1.3969839e-09	0.0	-1.9188831	0.49846053	0
UBXN7	0.25151676	0.31490356	0.3920812894183602	0.15858178	0.07858243451463791	-0.9892315	24.02996	1
