gene	mean	VO_mean	VO_positive_frac	HO_mean	HO_positive_frac	log2FC	-log10 p-val	is_significant
SPATA45	0.001542565	0.0015811003	0.0013149243918474688	-7.2759576e-11	0.0	-4.071335	1.2019567	0
FLVCR1-DT	0.020071328	0.020572802	0.026627218934911243	-7.2759576e-11	0.0	-7.6915913	17.227343	1
FLVCR1	0.064621896	0.06460153	0.07790927021696252	0.06543076	0.10526315789473684	0.018372374	0.012836884	0
AC104333.4	-1.4479156e-09	-1.1568773e-09	0.0	-7.2759576e-11	0.0	1.5650336e-05	44.55244	0
VASH2	0.019650659	0.020141622	0.026627218934911243	-7.2759576e-11	0.0	-7.661182	17.368244	1
ANGEL2	0.13523573	0.13529122	0.15976331360946747	0.13302091	0.18421052631578946	-0.02439698	0.023440894	0
RPS6KC1	0.123941354	0.1250453	0.15384615384615385	0.07976214	0.13157894736842105	-0.64802045	1.0681301	0
AL592402.1	-1.4479156e-09	-1.1568773e-09	0.0	-7.2759576e-11	0.0	1.5650336e-05	44.55244	0
AC096639.1	-1.4479156e-09	-1.1568773e-09	0.0	-7.2759576e-11	0.0	1.5650336e-05	44.55244	0
PROX1-AS1	0.0006483739	0.00066457514	0.0006574621959237344	-7.2759576e-11	0.0	-2.9346595	0.80301344	0
LINC00538	-1.4479156e-09	-1.1568773e-09	0.0	-7.2759576e-11	0.0	1.5650336e-05	44.55244	0
PROX1	0.025665637	0.026109995	0.03057199211045365	0.007880472	0.013157894736842105	-1.7155713	1.4958439	0
AC011700.1	-1.4479156e-09	-1.1568773e-09	0.0	-7.2759576e-11	0.0	1.5650336e-05	44.55244	0
AL606537.1	-1.4479156e-09	-1.1568773e-09	0.0	-7.2759576e-11	0.0	1.5650336e-05	44.55244	0
LINC02775	-1.4479156e-09	-1.1568773e-09	0.0	-7.2759576e-11	0.0	1.5650336e-05	44.55244	0
SMYD2	0.18355465	0.18340729	0.2176199868507561	0.18943602	0.25	0.046634614	0.0536913	0
AL929236.1	-1.4479156e-09	-1.1568773e-09	0.0	-7.2759576e-11	0.0	1.5650336e-05	44.55244	0
PTPN14	0.23073441	0.23105621	0.257396449704142	0.21783823	0.2894736842105263	-0.084948905	0.10834789	0
CENPF	0.091624856	0.09302347	0.07199211045364892	0.035651512	0.05263157894736842	-1.3811406	2.3083389	0
AC099563.2	-1.4479156e-09	-1.1568773e-09	0.0	-7.2759576e-11	0.0	1.5650336e-05	44.55244	0
KCNK2	0.0013279944	0.001361169	0.0019723865877712033	-7.2759576e-11	0.0	-3.8690522	1.6918285	0
AL450990.1	-1.4479156e-09	-1.1568773e-09	0.0	-7.2759576e-11	0.0	1.5650336e-05	44.55244	0
KCTD3	0.11882834	0.11918132	0.14135437212360288	0.10470716	0.14473684210526316	-0.18663087	0.1816993	0
USH2A	-1.4479156e-09	-1.1568773e-09	0.0	-7.2759576e-11	0.0	1.5650336e-05	44.55244	0
AL358452.1	-1.4479156e-09	-1.1568773e-09	0.0	-7.2759576e-11	0.0	1.5650336e-05	44.55244	0
AC093581.1	-1.4479156e-09	-1.1568773e-09	0.0	-7.2759576e-11	0.0	1.5650336e-05	44.55244	0
AC138024.1	-1.4479156e-09	-1.1568773e-09	0.0	-7.2759576e-11	0.0	1.5650336e-05	44.55244	0
ESRRG	0.0050608697	0.0049258065	0.007889546351084813	0.0104677705	0.013157894736842105	1.072244	0.22196007	0
GPATCH2	0.302969	0.30649927	0.33530571992110453	0.16164908	0.19736842105263158	-0.9225967	3.1699178	0
SPATA17	0.002605737	0.0026708343	0.003287310979618672	-7.2759576e-11	0.0	-4.7922497	2.6993818	0
SPATA17-AS1	-1.4479156e-09	-1.1568773e-09	0.0	-7.2759576e-11	0.0	1.5650336e-05	44.55244	0
LINC00210	-1.4479156e-09	-1.1568773e-09	0.0	-7.2759576e-11	0.0	1.5650336e-05	44.55244	0
AL355526.1	-1.4479156e-09	-1.1568773e-09	0.0	-7.2759576e-11	0.0	1.5650336e-05	44.55244	0
LINC01653	-1.4479156e-09	-1.1568773e-09	0.0	-7.2759576e-11	0.0	1.5650336e-05	44.55244	0
AL355526.2	-1.4479156e-09	-1.1568773e-09	0.0	-7.2759576e-11	0.0	1.5650336e-05	44.55244	0
RRP15	0.16019128	0.16104826	0.19099276791584485	0.12589541	0.21052631578947367	-0.35501745	0.6151122	0
TGFB2-AS1	-1.4479156e-09	-1.1568773e-09	0.0	-7.2759576e-11	0.0	1.5650336e-05	44.55244	0
TGFB2	0.023103843	0.022951353	0.03155818540433925	0.029208163	0.05263157894736842	0.3464511	0.17384747	0
TGFB2-OT1	-1.4479156e-09	-1.1568773e-09	0.0	-7.2759576e-11	0.0	1.5650336e-05	44.55244	0
C1orf143	0.00015206792	-1.1568773e-09	0.0	0.0062388126	0.013157894736842105	5.9861574	0.49413586	0
LINC01710	-1.4479156e-09	-1.1568773e-09	0.0	-7.2759576e-11	0.0	1.5650336e-05	44.55244	0
LYPLAL1-DT	0.0017274542	0.0017706088	0.0023011176857330702	-7.2759576e-11	0.0	-4.225437	1.8989465	0
