gene	mean	VO_mean	VO_positive_frac	Fus-HO_mean	Fus-HO_positive_frac	log2FC	-log10 p-val	is_significant
EGR1	0.37266755	0.3924659	0.33694937541091385	0.22682321	0.2033898305084746	-0.79073066	9.104565	1
DND1	0.0055063316	0.006254015	0.007560815253122946	3.0559022e-10	0.0	-5.989592	5.4492583	1
PCDH1	0.2509671	0.26458493	0.29092702169625245	0.1506446	0.1694915254237288	-0.8121697	8.264803	1
GNPDA1	0.31585032	0.328046	0.35634451019066404	0.22600466	0.25907990314769974	-0.5373471	5.546382	1
CARMN	0.27442503	0.30785662	0.2754766600920447	0.028159527	0.031476997578692496	-3.4459178	44.55244	1
AC131025.2	0.0068288217	0.0077560544	0.01051939513477975	3.0559022e-10	0.0	-6.2957287	7.514573	1
PPARGC1B	0.10579591	0.11446649	0.13379355687047995	0.041939847	0.053268765133171914	-1.4463557	10.403488	1
SLC26A2	0.34461462	0.35958052	0.3767258382642998	0.23436467	0.2639225181598063	-0.61734533	7.587703	1
PDGFRB	0.3462997	0.3883924	0.3244575936883629	0.03624004	0.03631961259079903	-3.4182544	44.55244	1
CD74	0.009204112	0.010453828	0.014464168310322156	3.0559022e-10	0.0	-6.721618	9.864312	1
NDST1	0.42063132	0.43620327	0.4418145956607495	0.30591762	0.32929782082324455	-0.5117166	6.576046	1
SMIM3	0.060511827	0.044026796	0.058842866535174225	0.18192802	0.1694915254237288	2.0444336	8.898748	1
GPX3	0.219832	0.23659827	0.2324128862590401	0.09631795	0.10653753026634383	-1.2956755	15.664703	1
ANXA6	0.50642496	0.5343691	0.5164365548980934	0.30058378	0.324455205811138	-0.8298596	18.217752	1
GM2A	0.0804851	0.08601615	0.1022353714661407	0.03975348	0.05084745762711865	-1.111578	5.345444	1
GALNT10	0.06800124	0.07431977	0.09467455621301775	0.021454737	0.031476997578692496	-1.7876811	11.376003	1
SGCD	0.0054000765	0.006133334	0.008875739644970414	3.0559022e-10	0.0	-5.961928	6.165743	1
ADAM19	0.25581864	0.2755521	0.30309007232084156	0.11045005	0.14043583535108958	-1.3181487	22.079102	1
UBLCP1	0.37732136	0.3913149	0.41124260355029585	0.27423537	0.3171912832929782	-0.51275814	6.28608	1
KCNMB1	0.014684273	0.016678007	0.02333990795529257	3.0559022e-10	0.0	-7.3904233	15.122404	1
UBTD2	0.13724354	0.14562711	0.17357001972386588	0.07550045	0.08958837772397095	-0.9468026	6.316667	1
DUSP1	0.38134712	0.34631088	0.3606180144641683	0.6394021	0.5278450363196125	0.8844649	14.641101	1
NKX2-5	0.014131369	0.0050038295	0.006903353057199211	0.08136175	0.1016949152542373	3.996471	8.725546	1
STC2	0.017015789	0.0037372073	0.006574621959237344	0.11482091	0.1089588377723971	4.904441	9.653721	1
SFXN1	0.22398938	0.20999712	0.24293228139381987	0.32703632	0.3341404358353511	0.6388355	5.209213	1
CLTB	0.70625705	0.74260837	0.6406969099276791	0.43856296	0.4406779661016949	-0.7596831	23.03043	1
PDLIM7	0.4613878	0.48646638	0.4881656804733728	0.27665126	0.31476997578692495	-0.81404674	17.22995	1
N4BP3	0.2877704	0.30203643	0.31886916502301116	0.18267402	0.20823244552058112	-0.725139	8.040197	1
FOXC1	0.18568914	0.20218952	0.22123602892833663	0.06413348	0.0774818401937046	-1.6550242	21.898106	1
GMDS	0.12435157	0.13272625	0.16305062458908612	0.06267432	0.07506053268765134	-1.0812938	7.256639	1
NQO2	0.22060142	0.23564908	0.25279421433267585	0.10974603	0.12106537530266344	-1.1017693	11.835632	1
TUBB2A	0.53719556	0.55882746	0.5105193951347797	0.37784943	0.36561743341404357	-0.56446797	9.045852	1
LYRM4	0.45187435	0.47072953	0.4730440499671269	0.31297892	0.3365617433414044	-0.5886784	9.200492	1
DSP	0.2895682	0.3030234	0.314266929651545	0.19044481	0.22276029055690072	-0.6697749	7.222779	1
NEDD9	0.23792003	0.20630948	0.2222222222222222	0.47074053	0.4406779661016949	1.1897292	16.74577	1
DTNBP1	0.3799194	0.3940011	0.39414858645627876	0.27618217	0.288135593220339	-0.5124233	5.5666966	1
CAP2	0.058961827	0.06440435	0.08284023668639054	0.018867686	0.029055690072639227	-1.7658528	10.308204	1
DCDC2	0.009394203	0.010669727	0.015121630506245891	3.0559022e-10	0.0	-6.7508335	9.829579	1
GPLD1	0.005336752	0.0060614124	0.008547008547008548	3.0559022e-10	0.0	-5.9451847	5.994658	1
KIAA0319	0.0071271877	0.008094928	0.01051939513477975	3.0559022e-10	0.0	-6.356655	7.4416304	1
RIPOR2	0.013693102	0.015342524	0.022353714661406968	0.0015449118	0.002421307506053269	-3.2308266	7.4866223	1
CARMIL1	0.0436289	0.04739932	0.05818540433925049	0.015850803	0.01694915254237288	-1.5742779	5.0786304	1
HIST1H2BJ	0.06265474	0.06813197	0.08579881656804733	0.022305066	0.026634382566585957	-1.6066229	7.7423153	1
HLA-B	1.1710206	1.2240113	0.8040762656147271	0.7807499	0.5956416464891041	-0.6486175	24.787462	1
AIF1	0.020822719	0.02294969	0.03353057199211045	0.005157061	0.007263922518159807	-2.132419	5.075853	1
NEU1	0.36722764	0.38290212	0.40335305719921105	0.2517578	0.288135593220339	-0.60474294	8.035461	1
GPSM3	0.23314455	0.21816808	0.2495069033530572	0.34344104	0.3486682808716707	0.6543812	5.572485	1
BRPF3	0.07477272	0.07972971	0.10190664036817883	0.038258355	0.053268765133171914	-1.057385	5.022493	1
PIM1	0.03347628	0.02574867	0.031229454306377382	0.09039528	0.1016949152542373	1.8077525	5.000103	1
CCDC167	0.5912964	0.6172923	0.5756081525312294	0.3998067	0.41646489104116224	-0.626524	13.818544	1
DAAM2	0.030973265	0.03463368	0.04799474030243261	0.0040128618	0.007263922518159807	-3.078121	14.863058	1
PTCRA	0.014899492	0.016528506	0.020381328073635765	0.0029016251	0.004842615012106538	-2.4698427	5.3084617	1
RRP36	0.5614166	0.5876878	0.5611439842209073	0.36789745	0.38498789346246975	-0.6755997	14.938585	1
DNPH1	0.29529452	0.31101817	0.33596318211702825	0.17946225	0.20823244552058112	-0.7929785	9.89906	1
VEGFA	0.0523798	0.023020165	0.03057199211045365	0.26862922	0.2469733656174334	3.5389295	19.198479	1
TNFRSF21	0.08099815	0.08614368	0.10880999342537805	0.043106243	0.06295399515738499	-0.997179	5.026926	1
AL355353.1	0.0057734475	0.006557396	0.008547008547008548	3.0559022e-10	0.0	-6.056882	6.0764213	1
