gene	mean	HO_mean	HO_positive_frac	VasHO_mean	VasHO_positive_frac	log2FC	-log10 p-val	is_significant
DNAAF3	0.002691531	-7.2759576e-11	0.0	0.00305681	0.0035714285714285713	4.9803967	0.7968765	0
AC010327.4	0.0007137208	-7.2759576e-11	0.0	0.000810579	0.0017857142857142857	3.1867852	0.49792212	0
SYT5	7.930794e-10	-7.2759576e-11	0.0	6.693881e-10	0.0	1.0662885e-05	43.51105	0
PTPRH	0.0009104419	-7.2759576e-11	0.0	0.0010340019	0.0017857142857142857	3.5033522	0.49793044	0
AC010327.7	0.0029548935	-7.2759576e-11	0.0	0.0033559147	0.005357142857142857	5.1109967	1.0496051	0
AC010327.5	0.0013711478	-7.2759576e-11	0.0	0.0015572322	0.0017857142857142857	4.050705	0.4979261	0
TMEM86B	0.008083132	0.0045215734	0.013157894736842105	0.0085665	0.0125	0.90706533	0.32747614	0
PPP6R1	0.1925583	0.13820705	0.21052631578947367	0.19993463	0.25892857142857145	0.5323751	1.0364498	0
HSPBP1	0.09626665	0.103662066	0.15789473684210525	0.0952631	0.12678571428571428	-0.12177607	0.1020852	0
BRSK1	0.014386727	-7.2759576e-11	0.0	0.01633921	0.02142857142857143	7.360998	3.1065717	0
AC020922.2	7.930794e-10	-7.2759576e-11	0.0	6.693881e-10	0.0	1.0662885e-05	43.51105	0
TMEM150B	7.930794e-10	-7.2759576e-11	0.0	6.693881e-10	0.0	1.0662885e-05	43.51105	0
AC020922.4	7.930794e-10	-7.2759576e-11	0.0	6.693881e-10	0.0	1.0662885e-05	43.51105	0
KMT5C	0.019649176	0.011277711	0.02631578947368421	0.020785257	0.030357142857142857	0.8762746	0.5019748	0
COX6B2	0.0016467142	-7.2759576e-11	0.0	0.0018701967	0.0017857142857142857	4.3002687	0.4979271	0
FAM71E2	7.930794e-10	-7.2759576e-11	0.0	6.693881e-10	0.0	1.0662885e-05	43.51105	0
IL11	0.0006188346	-7.2759576e-11	0.0	0.00070281903	0.0017857142857142857	3.005076	0.4979235	0
TMEM190	7.930794e-10	-7.2759576e-11	0.0	6.693881e-10	0.0	1.0662885e-05	43.51105	0
AC020922.3	7.930794e-10	-7.2759576e-11	0.0	6.693881e-10	0.0	1.0662885e-05	43.51105	0
TMEM238	0.016786953	0.00462004	0.013157894736842105	0.018438177	0.025	1.9736285	1.3590866	0
RPL28	3.4056468	3.6528156	1.0	3.3721013	1.0	-0.11535779	7.9092364	0
UBE2S	0.3483838	0.32004806	0.39473684210526316	0.35222876	0.39285714285714285	0.13818304	0.2420616	0
SHISA7	7.930794e-10	-7.2759576e-11	0.0	6.693881e-10	0.0	1.0662885e-05	43.51105	0
ISOC2	0.2675054	0.256031	0.3157894736842105	0.2690619	0.3392857142857143	0.071592316	0.09924836	0
C19orf85	7.930794e-10	-7.2759576e-11	0.0	6.693881e-10	0.0	1.0662885e-05	43.51105	0
AC008735.3	7.930794e-10	-7.2759576e-11	0.0	6.693881e-10	0.0	1.0662885e-05	43.51105	0
ZNF628	0.024442973	0.045628954	0.07894736842105263	0.021567697	0.02857142857142857	-1.0775621	0.6473755	0
NAT14	0.18196593	0.25587788	0.32894736842105265	0.17193513	0.22142857142857142	-0.57331586	1.122058	0
SSC5D	0.007049617	0.027364817	0.039473684210526314	0.004292503	0.007142857142857143	-2.6444695	0.82339334	0
SBK2	7.930794e-10	-7.2759576e-11	0.0	6.693881e-10	0.0	1.0662885e-05	43.51105	0
SBK3	7.930794e-10	-7.2759576e-11	0.0	6.693881e-10	0.0	1.0662885e-05	43.51105	0
ZNF579	0.13522318	0.21841933	0.3026315789473684	0.123932414	0.16785714285714284	-0.81704366	1.5159107	0
FIZ1	0.038730383	0.041937176	0.07894736842105263	0.038295243	0.055357142857142855	-0.13073817	0.07468274	0
ZNF524	0.13937406	0.1755314	0.23684210526315788	0.13446717	0.16785714285714284	-0.38422436	0.457893	0
ZNF865	0.046815857	0.05451974	0.10526315789473684	0.04577046	0.0625	-0.25185713	0.16986664	0
AC008735.4	0.0013246138	-7.2759576e-11	0.0	0.0015043826	0.0017857142857142857	4.0039473	0.4979261	0
ZNF784	0.01362841	0.007891173	0.013157894736842105	0.014407025	0.019642857142857142	0.8602726	0.32435563	0
ZNF580	0.51205134	0.57674605	0.6447368421052632	0.5032715	0.5571428571428572	-0.19656275	0.6459523	0
ZNF581	0.2316241	0.48756865	0.5263157894736842	0.19688773	0.24464285714285713	-1.3077954	4.6846843	0
CCDC106	0.12479898	0.1296557	0.21052631578947367	0.124139935	0.1625	-0.06266902	0.06084878	0
U2AF2	0.14442031	0.1926361	0.3026315789473684	0.13787684	0.17857142857142858	-0.48220074	0.81671184	0
AC008735.2	0.008562666	0.041551657	0.07894736842105263	0.00408549	0.007142857142857143	-3.3149056	1.4735506	0
AC008735.1	0.0038518596	-7.2759576e-11	0.0	0.004374612	0.005357142857142857	5.4836917	1.07887	0
EPN1	0.50424075	0.5155954	0.5921052631578947	0.5026997	0.5375	-0.036535364	0.07938126	0
