gene	mean	HO_mean	HO_positive_frac	ReAgg-CM_mean	ReAgg-CM_positive_frac	log2FC	-log10 p-val	is_significant
AL512408.1	-1.1641532e-10	-7.2759576e-11	0.0	-5.820766e-11	0.0	1.7198263e-07	0.733306	0
ARID1A	0.36889213	0.35891658	0.5263157894736842	0.37987995	0.42028985507246375	0.08187283	0.112443216	0
PIGV	0.025839865	0.013324165	0.013157894736842105	0.039625272	0.028985507246376812	1.5652249	0.3857323	0
ZDHHC18	0.05764557	0.07194592	0.11842105263157894	0.041894324	0.07246376811594203	-0.77872235	0.49234873	0
SFN	-1.1641532e-10	-7.2759576e-11	0.0	-5.820766e-11	0.0	1.7198263e-07	0.733306	0
GPN2	0.092404634	0.11104478	0.15789473684210525	0.07187335	0.08695652173913043	-0.62690544	0.44761598	0
AL034380.1	-1.1641532e-10	-7.2759576e-11	0.0	-5.820766e-11	0.0	1.7198263e-07	0.733306	0
GPATCH3	0.038355816	0.018657759	0.02631578947368421	0.060052253	0.057971014492753624	1.6811314	0.6701581	0
NUDC	0.54672146	0.5605975	0.6578947368421053	0.531438	0.4927536231884058	-0.077049725	0.1291574	0
NR0B2	-1.1641532e-10	-7.2759576e-11	0.0	-5.820766e-11	0.0	1.7198263e-07	0.733306	0
KDF1	-1.1641532e-10	-7.2759576e-11	0.0	-5.820766e-11	0.0	1.7198263e-07	0.733306	0
TRNP1	0.08649284	0.10133594	0.15789473684210525	0.07014379	0.08695652173913043	-0.53012633	0.36707354	0
TENT5B	0.001534486	-7.2759576e-11	0.0	0.003224644	0.014492753623188406	5.055129	0.49369037	0
SLC9A1	0.17848064	0.16021581	0.2631578947368421	0.19859876	0.2463768115942029	0.3096662	0.31268433	0
AL590640.1	-1.1641532e-10	-7.2759576e-11	0.0	-5.820766e-11	0.0	1.7198263e-07	0.733306	0
WDTC1	0.090210505	0.073060185	0.10526315789473684	0.10910061	0.13043478260869565	0.5778503	0.38221925	0
TMEM222	0.16050027	0.1195246	0.18421052631578946	0.20563325	0.2318840579710145	0.7822609	0.8698858	0
SYTL1	-1.1641532e-10	-7.2759576e-11	0.0	-5.820766e-11	0.0	1.7198263e-07	0.733306	0
MAP3K6	0.019146996	0.008193261	0.013157894736842105	0.031212067	0.043478260869565216	1.9167074	0.60722953	0
FCN3	0.25825384	0.24562904	0.3026315789473684	0.27215996	0.2608695652173913	0.14791633	0.13476244	0
CD164L2	-1.1641532e-10	-7.2759576e-11	0.0	-5.820766e-11	0.0	1.7198263e-07	0.733306	0
GPR3	0.019583028	0.037362445	0.05263157894736842	-5.820766e-11	0.0	-8.549302	1.2274067	0
WASF2	1.4912689	1.3974844	0.9210526315789473	1.5945677	0.9565217391304348	0.19032039	1.2991673	0
FO393419.2	-1.1641532e-10	-7.2759576e-11	0.0	-5.820766e-11	0.0	1.7198263e-07	0.733306	0
BX293535.1	-1.1641532e-10	-7.2759576e-11	0.0	-5.820766e-11	0.0	1.7198263e-07	0.733306	0
AHDC1	0.14014673	0.09131902	0.17105263157894737	0.19392835	0.21739130434782608	1.0857011	1.2327793	0
FGR	-1.1641532e-10	-7.2759576e-11	0.0	-5.820766e-11	0.0	1.7198263e-07	0.733306	0
LINC02574	-1.1641532e-10	-7.2759576e-11	0.0	-5.820766e-11	0.0	1.7198263e-07	0.733306	0
IFI6	0.1748828	0.21382993	0.3157894736842105	0.13198516	0.17391304347826086	-0.69567	0.866346	0
AL445490.1	-1.1641532e-10	-7.2759576e-11	0.0	-5.820766e-11	0.0	1.7198263e-07	0.733306	0
AL020997.5	-1.1641532e-10	-7.2759576e-11	0.0	-5.820766e-11	0.0	1.7198263e-07	0.733306	0
FAM76A	0.09191183	0.11361161	0.14473684210526316	0.06801048	0.08695652173913043	-0.73943084	0.5007686	0
STX12	0.31610197	0.33289737	0.40789473684210525	0.2976031	0.36231884057971014	-0.16163655	0.20377289	0
AL020997.2	-1.1641532e-10	-7.2759576e-11	0.0	-5.820766e-11	0.0	1.7198263e-07	0.733306	0
AL020997.3	0.0023699217	0.0045215734	0.013157894736842105	-5.820766e-11	0.0	-5.530313	0.49413538	0
AL020997.4	-1.1641532e-10	-7.2759576e-11	0.0	-5.820766e-11	0.0	1.7198263e-07	0.733306	0
PPP1R8	0.14552967	0.13611059	0.21052631578947367	0.1559046	0.2028985507246377	0.19574976	0.15151484	0
THEMIS2	0.010708864	0.011127649	0.013157894736842105	0.010247576	0.014492753623188406	-0.11776295	0.020593453	0
RPA2	0.09630823	0.06737506	0.09210526315789473	0.12817658	0.15942028985507245	0.92683166	0.69466525	0
SMPDL3B	-1.1641532e-10	-7.2759576e-11	0.0	-5.820766e-11	0.0	1.7198263e-07	0.733306	0
AL512288.1	-1.1641532e-10	-7.2759576e-11	0.0	-5.820766e-11	0.0	1.7198263e-07	0.733306	0
XKR8	0.11625165	0.14611046	0.18421052631578946	0.083363585	0.10144927536231885	-0.80882764	0.6903992	0
EYA3	0.04867158	0.052041117	0.09210526315789473	0.04496001	0.057971014492753624	-0.21057382	0.085297465	0
PTAFR	-1.1641532e-10	-7.2759576e-11	0.0	-5.820766e-11	0.0	1.7198263e-07	0.733306	0
DNAJC8	0.77953523	0.8267354	0.8289473684210527	0.727547	0.6376811594202898	-0.18436137	0.5359395	0
ATP5IF1	1.3629332	1.3182867	0.8552631578947368	1.4121088	0.9130434782608695	0.09917988	0.40899354	0
AL353622.1	-1.1641532e-10	-7.2759576e-11	0.0	-5.820766e-11	0.0	1.7198263e-07	0.733306	0
AL353622.2	-1.1641532e-10	-7.2759576e-11	0.0	-5.820766e-11	0.0	1.7198263e-07	0.733306	0
SESN2	0.17319962	0.19975269	0.2894736842105263	0.14395347	0.17391304347826086	-0.47233257	0.5021493	0
MED18	0.052757733	0.04897216	0.07894736842105263	0.056927286	0.057971014492753624	0.21674764	0.08667159	0
PHACTR4	0.21644069	0.20630385	0.27631578947368424	0.22760658	0.2608695652173913	0.14170615	0.12841228	0
