Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	basement membrane assembly (GO:0070831)	2/9	8.708672e-04	1.515309e-02	0	0	5.799708e+01	4.086487e+02	RAMP2;PXDN
GO_Biological_Process_2021	CD40 signaling pathway (GO:0023035)	2/9	8.708672e-04	1.515309e-02	0	0	5.799708e+01	4.086487e+02	ITGB1;ITGA5
GO_Biological_Process_2021	negative regulation of nitric oxide biosynthetic process (GO:0045019)	2/9	8.708672e-04	1.515309e-02	0	0	5.799708e+01	4.086487e+02	CAV1;CD34
GO_Biological_Process_2021	negative regulation of nitric oxide metabolic process (GO:1904406)	2/9	8.708672e-04	1.515309e-02	0	0	5.799708e+01	4.086487e+02	CAV1;CD34
GO_Biological_Process_2021	positive regulation of hydrolase activity (GO:0051345)	5/149	9.152048e-04	1.570027e-02	0	0	7.220760e+00	5.051906e+01	ITGB1;ITGA6;CALM1;S100A10;LIMS1
GO_Biological_Process_2021	regulation of cation channel activity (GO:2001257)	4/89	1.037518e-03	1.707698e-02	0	0	9.713235e+00	6.673890e+01	ITGB1;FKBP1A;AHNAK;CALM1
GO_Biological_Process_2021	collagen fibril organization (GO:0030199)	4/89	1.037518e-03	1.707698e-02	0	0	9.713235e+00	6.673890e+01	COL4A2;COL4A1;PXDN;ITGA6
GO_Biological_Process_2021	transforming growth factor beta receptor signaling pathway (GO:0007179)	4/89	1.037518e-03	1.707698e-02	0	0	9.713235e+00	6.673890e+01	ITGB1;FKBP1A;CDH5;TGFBR2
GO_Biological_Process_2021	adherens junction assembly (GO:0034333)	2/10	1.085038e-03	1.716334e-02	0	0	5.074490e+01	3.463918e+02	RAMP2;ACTB
GO_Biological_Process_2021	sequestering of actin monomers (GO:0042989)	2/10	1.085038e-03	1.716334e-02	0	0	5.074490e+01	3.463918e+02	TMSB4X;TMSB10
GO_Biological_Process_2021	positive regulation of vasculogenesis (GO:2001214)	2/10	1.085038e-03	1.716334e-02	0	0	5.074490e+01	3.463918e+02	KDR;CD34
GO_Biological_Process_2021	regulation of actin cytoskeleton organization (GO:0032956)	4/91	1.127082e-03	1.759982e-02	0	0	9.488985e+00	6.441240e+01	ARHGDIB;FSCN1;ESAM;IQGAP1
GO_Biological_Process_2021	regulation of endothelial cell proliferation (GO:0001936)	4/92	1.173837e-03	1.809790e-02	0	0	9.380682e+00	6.329594e+01	EGFL7;SPARC;CAV1;KDR
GO_Biological_Process_2021	substantia nigra development (GO:0021762)	3/43	1.294547e-03	1.939761e-02	0	0	1.535567e+01	1.021090e+02	CALM1;ACTB;YWHAH
GO_Biological_Process_2021	angiogenesis involved in wound healing (GO:0060055)	2/11	1.321840e-03	1.939761e-02	0	0	4.510431e+01	2.989843e+02	KDR;CD34
GO_Biological_Process_2021	positive regulation of cellular extravasation (GO:0002693)	2/11	1.321840e-03	1.939761e-02	0	0	4.510431e+01	2.989843e+02	PLVAP;CD99
GO_Biological_Process_2021	positive regulation of vacuole organization (GO:0044090)	2/11	1.321840e-03	1.939761e-02	0	0	4.510431e+01	2.989843e+02	GRN;ANXA2
GO_Biological_Process_2021	branching morphogenesis of an epithelial tube (GO:0048754)	3/44	1.384259e-03	2.007175e-02	0	0	1.498039e+01	9.860976e+01	COL4A1;KDR;TGFBR2
GO_Biological_Process_2021	interleukin-12-mediated signaling pathway (GO:0035722)	3/46	1.575186e-03	2.188310e-02	0	0	1.428219e+01	9.216840e+01	ANXA2;CFL1;MSN
GO_Biological_Process_2021	regulation of cell communication by electrical coupling involved in cardiac conduction (GO:1901844)	2/12	1.581045e-03	2.188310e-02	0	0	4.059184e+01	2.618039e+02	CAV1;CALM1
GO_Biological_Process_2021	negative regulation of release of sequestered calcium ion into cytosol (GO:0051280)	2/12	1.581045e-03	2.188310e-02	0	0	4.059184e+01	2.618039e+02	FKBP1A;CALM1
GO_Biological_Process_2021	negative regulation of ryanodine-sensitive calcium-release channel activity (GO:0060315)	2/12	1.581045e-03	2.188310e-02	0	0	4.059184e+01	2.618039e+02	FKBP1A;CALM1
GO_Biological_Process_2021	positive regulation of intracellular signal transduction (GO:1902533)	9/546	1.659428e-03	2.270993e-02	0	0	3.566149e+00	2.282793e+01	FKBP1A;ITGB1;FLT1;PLK2;CAV1;KDR;LAPTM5;IQGAP1;LIMS1
GO_Biological_Process_2021	cellular response to interleukin-12 (GO:0071349)	3/48	1.781842e-03	2.384927e-02	0	0	1.364605e+01	8.638096e+01	ANXA2;CFL1;MSN
GO_Biological_Process_2021	regulation of interleukin-2 production (GO:0032663)	3/48	1.781842e-03	2.384927e-02	0	0	1.364605e+01	8.638096e+01	PNP;LAPTM5;CD34
GO_Biological_Process_2021	regulation of cell communication by electrical coupling (GO:0010649)	2/13	1.862428e-03	2.439180e-02	0	0	3.689981e+01	2.319476e+02	CAV1;CALM1
GO_Biological_Process_2021	embryonic hemopoiesis (GO:0035162)	2/13	1.862428e-03	2.439180e-02	0	0	3.689981e+01	2.319476e+02	KDR;TGFBR2
GO_Biological_Process_2021	adherens junction organization (GO:0034332)	3/49	1.891209e-03	2.450524e-02	0	0	1.334872e+01	8.370368e+01	CDH5;RAMP2;ACTB
GO_Biological_Process_2021	cellular response to low-density lipoprotein particle stimulus (GO:0071404)	2/14	2.165765e-03	2.719487e-02	0	0	3.382313e+01	2.075043e+02	ITGB1;CD9
GO_Biological_Process_2021	positive regulation of alpha-beta T cell differentiation (GO:0046638)	2/14	2.165765e-03	2.719487e-02	0	0	3.382313e+01	2.075043e+02	PNP;TGFBR2
GO_Biological_Process_2021	regulation of vasculogenesis (GO:2001212)	2/14	2.165765e-03	2.719487e-02	0	0	3.382313e+01	2.075043e+02	KDR;CD34
GO_Biological_Process_2021	sprouting angiogenesis (GO:0002040)	3/52	2.244122e-03	2.789123e-02	0	0	1.252956e+01	7.642331e+01	ESM1;RAMP2;KDR
GO_Biological_Process_2021	establishment of apical/basal cell polarity (GO:0035089)	2/15	2.490834e-03	2.957014e-02	0	0	3.121978e+01	1.871669e+02	FSCN1;MSN
GO_Biological_Process_2021	positive regulation of endothelial cell chemotaxis (GO:2001028)	2/15	2.490834e-03	2.957014e-02	0	0	3.121978e+01	1.871669e+02	TMSB4X;KDR
GO_Biological_Process_2021	membrane raft organization (GO:0031579)	2/15	2.490834e-03	2.957014e-02	0	0	3.121978e+01	1.871669e+02	ANXA2;S100A10
GO_Biological_Process_2021	protein localization to cell-cell junction (GO:0150105)	2/15	2.490834e-03	2.957014e-02	0	0	3.121978e+01	1.871669e+02	CDH5;ACTB
GO_Biological_Process_2021	regulation of focal adhesion assembly (GO:0051893)	3/54	2.500595e-03	2.957014e-02	0	0	1.203699e+01	7.211635e+01	KDR;S100A10;LIMS1
GO_Biological_Process_2021	positive regulation of cell population proliferation (GO:0008284)	8/474	2.603821e-03	3.024327e-02	0	0	3.626423e+00	2.158003e+01	WWTR1;GRN;ESM1;FLT1;S100A6;KDR;TGFBR2;GNAI2
GO_Biological_Process_2021	regulation of GTPase activity (GO:0043087)	5/189	2.607179e-03	3.024327e-02	0	0	5.639588e+00	3.355265e+01	ITGB1;PLXND1;ITGA6;S100A10;LIMS1
GO_Biological_Process_2021	calcium ion transport (GO:0006816)	4/115	2.661302e-03	3.057987e-02	0	0	7.428303e+00	4.404196e+01	FKBP1A;RAMP2;CALCRL;CAV1
GO_Biological_Process_2021	Rho protein signal transduction (GO:0007266)	3/56	2.774493e-03	3.158254e-02	0	0	1.158160e+01	6.818420e+01	ARHGDIB;CFL1;ARHGAP29
