gene	mean	EC_2_mean	EC_2_positive_frac	EC_3_mean	EC_3_positive_frac	log2FC	-log10 p-val	is_significant
PPP1R21	0.09616567	0.087995306	0.1241106719367589	0.10783972	0.1367231638418079	0.2930888	1.0367361	0
STON1	0.030340252	0.0354178	0.05691699604743083	0.023083232	0.0327683615819209	-0.61546046	1.3582048	0
STON1-GTF2A1L	1.4260877e-09	1.2369128e-09	0.0	1.0477379e-09	0.0	-2.751725e-06	3.8628373	0
GTF2A1L	1.4260877e-09	1.2369128e-09	0.0	1.0477379e-09	0.0	-2.751725e-06	3.8628373	0
LHCGR	1.4260877e-09	1.2369128e-09	0.0	1.0477379e-09	0.0	-2.751725e-06	3.8628373	0
AC009975.1	1.4260877e-09	1.2369128e-09	0.0	1.0477379e-09	0.0	-2.751725e-06	3.8628373	0
FSHR	1.4260877e-09	1.2369128e-09	0.0	1.0477379e-09	0.0	-2.751725e-06	3.8628373	0
AC009975.2	1.4260877e-09	1.2369128e-09	0.0	1.0477379e-09	0.0	-2.751725e-06	3.8628373	0
AC009971.1	1.4260877e-09	1.2369128e-09	0.0	1.0477379e-09	0.0	-2.751725e-06	3.8628373	0
NRXN1	0.16686325	0.250616	0.2656126482213439	0.047156632	0.04745762711864407	-2.4074652	38.41277	1
AC068725.1	1.4260877e-09	1.2369128e-09	0.0	1.0477379e-09	0.0	-2.751725e-06	3.8628373	0
AC009234.1	1.4260877e-09	1.2369128e-09	0.0	1.0477379e-09	0.0	-2.751725e-06	3.8628373	0
AC007682.1	0.0015840866	0.002194901	0.0031620553359683794	0.0007111124	0.0011299435028248588	-1.5004582	0.58432394	0
AC007402.1	1.4260877e-09	1.2369128e-09	0.0	1.0477379e-09	0.0	-2.751725e-06	3.8628373	0
AC007402.2	1.4260877e-09	1.2369128e-09	0.0	1.0477379e-09	0.0	-2.751725e-06	3.8628373	0
AC079304.1	1.4260877e-09	1.2369128e-09	0.0	1.0477379e-09	0.0	-2.751725e-06	3.8628373	0
LINC01867	1.4260877e-09	1.2369128e-09	0.0	1.0477379e-09	0.0	-2.751725e-06	3.8628373	0
AC139712.3	1.4260877e-09	1.2369128e-09	0.0	1.0477379e-09	0.0	-2.751725e-06	3.8628373	0
AC010967.1	1.4260877e-09	1.2369128e-09	0.0	1.0477379e-09	0.0	-2.751725e-06	3.8628373	0
AC010967.2	1.4260877e-09	1.2369128e-09	0.0	1.0477379e-09	0.0	-2.751725e-06	3.8628373	0
ASB3	0.12786283	0.14441733	0.1976284584980237	0.104195684	0.13559322033898305	-0.47056302	2.8017411	0
CHAC2	0.03712517	0.049087625	0.07430830039525692	0.020026997	0.02824858757062147	-1.2891635	5.0399017	1
ERLEC1	0.5406472	0.51423806	0.5739130434782609	0.5783847	0.5661016949152542	0.16956188	2.15212	0
GPR75	0.0035728638	0.0044714306	0.0071146245059288534	0.0022883003	0.003389830508474576	-0.93666136	0.54490817	0
PSME4	0.2820997	0.31529072	0.3968379446640316	0.23465402	0.28361581920903955	-0.4259902	5.1516376	0
ACYP2	0.1946147	0.20663574	0.2758893280632411	0.17743982	0.21468926553672316	-0.21964516	1.200201	0
AC008280.3	0.0024513337	0.0019322584	0.0031620553359683794	0.0031932683	0.004519774011299435	0.69643635	0.29843125	0
TSPYL6	0.0004255976	0.00072333607	0.0007905138339920949	1.0477379e-09	0.0	-3.0414662	0.49825984	0
C2orf73	1.4260877e-09	1.2369128e-09	0.0	1.0477379e-09	0.0	-2.751725e-06	3.8628373	0
SPTBN1	1.7518857	1.6560631	0.9612648221343874	1.8888552	0.9593220338983051	0.18974374	17.317617	0
AC092839.1	1.4260877e-09	1.2369128e-09	0.0	1.0477379e-09	0.0	-2.751725e-06	3.8628373	0
AC092839.2	1.4260877e-09	1.2369128e-09	0.0	1.0477379e-09	0.0	-2.751725e-06	3.8628373	0
AC093110.1	0.0040321765	0.0029427954	0.003952569169960474	0.0055893026	0.007909604519774011	0.90285444	0.5291076	0
EML6	0.026480848	0.043113425	0.05928853754940711	0.0027074178	0.004519774011299435	-3.9441638	12.918274	1
AC104781.1	1.4260877e-09	1.2369128e-09	0.0	1.0477379e-09	0.0	-2.751725e-06	3.8628373	0
AC104781.2	1.4260877e-09	1.2369128e-09	0.0	1.0477379e-09	0.0	-2.751725e-06	3.8628373	0
RTN4	1.9118766	1.9348413	0.9810276679841897	1.8790516	0.9740112994350283	-0.04220839	1.7733587	0
CLHC1	0.06629136	0.075288594	0.10988142292490119	0.05342896	0.0768361581920904	-0.49402666	1.793933	0
AC012358.1	0.0017032349	0.0017763985	0.0031620553359683794	0.0015987698	0.0022598870056497176	-0.14347588	0.04476585	0
RPS27A	3.2601743	3.2635365	1.0	3.2553647	1.0	-0.0036168536	0.21798979	0
MTIF2	0.14585322	0.15180387	0.20948616600790515	0.13734724	0.1751412429378531	-0.1442807	0.52249575	0
AC012358.3	0.0057123764	0.005140547	0.008695652173913044	0.0065295966	0.007909604519774011	0.33920372	0.19290094	0
CCDC88A	0.5666002	0.60667956	0.6371541501976284	0.5092996	0.519774011299435	-0.2523747	4.37032	0
CFAP36	0.27119598	0.26758546	0.3422924901185771	0.27635807	0.3310734463276836	0.046521883	0.20215179	0
PPP4R3B	0.25354865	0.25232995	0.3209486166007905	0.25529417	0.3016949152542373	0.016842626	0.061423242	0
AC015982.2	0.01078981	0.0066147684	0.011067193675889328	0.016758226	0.0192090395480226	1.3280432	1.568711	0
PNPT1	0.15191703	0.16689862	0.22529644268774704	0.13050365	0.16497175141242937	-0.35464093	2.0269933	0
EFEMP1	0.0038094174	0.00516214	0.0071146245059288534	0.0018757401	0.003389830508474576	-1.4132564	0.9362124	0
AC011306.1	0.00039125088	1.2369128e-09	0.0	0.0009504947	0.0011299435028248588	3.3929791	0.49815518	0
MIR217HG	1.4260877e-09	1.2369128e-09	0.0	1.0477379e-09	0.0	-2.751725e-06	3.8628373	0
LINC01813	1.4260877e-09	1.2369128e-09	0.0	1.0477379e-09	0.0	-2.751725e-06	3.8628373	0
AC007743.1	0.0103425365	0.011746028	0.018972332015810278	0.008336847	0.012429378531073447	-0.48962772	0.47114268	0
CCDC85A	0.041757043	0.054639667	0.07351778656126483	0.023343563	0.031638418079096044	-1.2233949	4.701709	0
AC132153.1	0.0019277792	0.0011292922	0.0015810276679841897	0.003069082	0.004519774011299435	1.3662372	0.57499915	0
VRK2	0.078557536	0.08275073	0.11778656126482213	0.07255988	0.09717514124293786	-0.18935542	0.49066567	0
AC068193.1	0.0005576803	0.0009478245	0.0015810276679841897	1.0477379e-09	0.0	-3.3893101	0.74448633	0
FANCL	0.09274371	0.09881593	0.1399209486166008	0.08405815	0.11073446327683616	-0.23309992	0.7367176	0
AC007250.1	0.00052671507	0.0008951958	0.0015810276679841897	1.0477379e-09	0.0	-3.3149652	0.7993177	0
LINC01795	1.4260877e-09	1.2369128e-09	0.0	1.0477379e-09	0.0	-2.751725e-06	3.8628373	0
LINC01122	0.0033045844	0.004908089	0.007905138339920948	0.0010124436	0.0022598870056497176	-2.1705282	1.5100098	0
LINC01793	1.4260877e-09	1.2369128e-09	0.0	1.0477379e-09	0.0	-2.751725e-06	3.8628373	0
AC007100.1	1.4260877e-09	1.2369128e-09	0.0	1.0477379e-09	0.0	-2.751725e-06	3.8628373	0
AC007179.2	1.4260877e-09	1.2369128e-09	0.0	1.0477379e-09	0.0	-2.751725e-06	3.8628373	0
AC007179.1	1.4260877e-09	1.2369128e-09	0.0	1.0477379e-09	0.0	-2.751725e-06	3.8628373	0
AC007100.2	1.4260877e-09	1.2369128e-09	0.0	1.0477379e-09	0.0	-2.751725e-06	3.8628373	0
AC007132.1	1.4260877e-09	1.2369128e-09	0.0	1.0477379e-09	0.0	-2.751725e-06	3.8628373	0
AC007381.1	1.4260877e-09	1.2369128e-09	0.0	1.0477379e-09	0.0	-2.751725e-06	3.8628373	0
AC007381.2	1.4260877e-09	1.2369128e-09	0.0	1.0477379e-09	0.0	-2.751725e-06	3.8628373	0
BCL11A	0.10904232	0.12827945	0.17944664031620552	0.08153852	0.09717514124293786	-0.6530923	3.980013	0
AC009970.1	1.4260877e-09	1.2369128e-09	0.0	1.0477379e-09	0.0	-2.751725e-06	3.8628373	0
PAPOLG	0.09876648	0.09273689	0.13359683794466404	0.10737918	0.13559322033898305	0.21128707	0.6612373	0
LINC01185	0.00041514583	0.0007055722	0.0007905138339920949	1.0477379e-09	0.0	-3.0099988	0.49825537	0
REL	0.11438166	0.1264906	0.17549407114624507	0.09706698	0.12542372881355932	-0.3816321	1.7725341	0
AC010733.2	1.4260877e-09	1.2369128e-09	0.0	1.0477379e-09	0.0	-2.751725e-06	3.8628373	0
PUS10	0.05412395	0.051123753	0.06877470355731226	0.058412634	0.07457627118644068	0.19193514	0.3750294	0
