gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	gene	CM	EN_H	EP	FB_H	UN
HTR7	P34969	False	5HT7R_HUMAN		CPI-CS059692236	HTR7	0.0	0.0	0.0	0.02	0.002
TACR1	P25103	False	NK1R_HUMAN		CPI-SS02A8BD654	TACR1	0.002	0.0	0.0	0.017	0.002
TACR1	P25103	False	NK1R_HUMAN		CPI-SS0CDDDEE9F	TACR1	0.002	0.0	0.0	0.017	0.002
TNFRSF14	Q92956	False	TNR14_HUMAN		CPI-SS0879B8E95	TNFRSF14	0.0	0.014	0.038	0.0	0.0
KDR	P35968	False	VGFR2_HUMAN		CPI-SS0C03F7CDC	KDR	0.397	0.899	0.09	0.134	0.105
FRZB	Q92765	False	SFRP3_HUMAN		CPI-SS0A10C2A8F	FRZB	0.245	0.014	0.026	0.086	0.066
FRZB	Q92765	False	SFRP3_HUMAN		CPI-SS0EE63435D	FRZB	0.245	0.014	0.026	0.086	0.066
FRZB	Q92765	False	SFRP3_HUMAN		CPI-SS007954822	FRZB	0.245	0.014	0.026	0.086	0.066
SFRP1	Q8N474	False	SFRP1_HUMAN		CPI-SS0DF9024C0	SFRP1	0.873	0.551	0.218	0.826	0.246
SFRP1	Q8N474	False	SFRP1_HUMAN		CPI-SS036707F4C	SFRP1	0.873	0.551	0.218	0.826	0.246
SFRP1	Q8N474	False	SFRP1_HUMAN		CPI-SS0F1E79A03	SFRP1	0.873	0.551	0.218	0.826	0.246
SFRP2	Q96HF1	False	SFRP2_HUMAN		CPI-SS0E9BE6A4E	SFRP2	0.001	0.0	0.0	0.0	0.002
SFRP2	Q96HF1	False	SFRP2_HUMAN		CPI-SS0661CE946	SFRP2	0.001	0.0	0.0	0.0	0.002
SFRP2	Q96HF1	False	SFRP2_HUMAN		CPI-SS03F33B34C	SFRP2	0.001	0.0	0.0	0.0	0.002
PTGIR	P43119	False	PI2R_HUMAN		CPI-CS09A35DD21	PTGIR	0.001	0.0	0.0	0.076	0.0
