gene	mean	ReAgg-CM_mean	ReAgg-CM_positive_frac	Fus-HO_mean	Fus-HO_positive_frac	log2FC	-log10 p-val	is_significant
BEND7	0.07379922	0.07736378	0.1012035010940919	0.071070425	0.07458649745136794	-0.12224406	0.95933825	0
AL590677.1	9.0449954e-05	0.00010681555	0.00013676148796498905	7.8118865e-05	0.00010402579839800271	-0.21550433	0.08180718	0
PRPF18	0.07587727	0.07366238	0.09737417943107221	0.07754638	0.08374076771039218	0.07403348	0.4916755	0
AL157392.3	0.021962378	0.022838388	0.026668490153172866	0.021301236	0.0230937272443566	-0.10006986	0.28564876	0
FRMD4A	0.09204721	0.10321539	0.12595733041575494	0.08353773	0.0883179028399043	-0.3048294	4.8832293	0
AL157392.4	0.00083850045	0.00097516977	0.0009573304157549234	0.0007345004	0.0007281805887860189	-0.36557975	0.19332643	0
AL157392.1	0.0002877949	1.2296368e-09	0.0	0.0005066997	0.0003120773951940081	2.600965	0.9098375	0
AL157392.2	9.95351e-09	1.2296368e-09	0.0	4.9112714e-09	0.0	5.314166e-05	44.55244	0
AC044781.1	9.95351e-09	1.2296368e-09	0.0	4.9112714e-09	0.0	5.314166e-05	44.55244	0
AL157896.1	9.95351e-09	1.2296368e-09	0.0	4.9112714e-09	0.0	5.314166e-05	44.55244	0
AL139405.1	6.957162e-05	1.2296368e-09	0.0	0.00012249209	0.00010402579839800271	1.1537364	0.49841702	0
FAM107B	0.053648252	0.044394623	0.05661925601750547	0.060675904	0.06387184021637365	0.4498684	5.5530577	0
AL158168.1	9.95351e-09	1.2296368e-09	0.0	4.9112714e-09	0.0	5.314166e-05	44.55244	0
CDNF	0.0027587418	0.0020661536	0.0028719912472647702	0.0032861352	0.0037449287423280972	0.644504	1.0205821	0
HSPA14	0.0495527	0.049949035	0.06714989059080963	0.04923727	0.0537813377717674	-0.02066439	0.084008045	0
HSPA14-1	0.124871455	0.14048088	0.17683260393873085	0.11299444	0.12254239051284718	-0.31387237	7.321672	0
AC069544.1	0.008416395	0.006936396	0.008889496717724288	0.009541487	0.010506605638198272	0.45441908	1.2546766	0
SUV39H2	0.04679523	0.04826604	0.06646608315098468	0.04566416	0.05128471861021534	-0.0797761	0.39497575	0
