gene	mean	ReAgg-CM_mean	ReAgg-CM_positive_frac	VasHO_mean	VasHO_positive_frac	log2FC	-log10 p-val	is_significant
AL391845.2	7.2541297e-09	1.2296368e-09	0.0	-5.4351403e-09	0.0	-9.61415e-05	44.55244	0
GABRD	0.0006962085	0.00050987996	0.0008205689277899343	0.0009848309	0.0006357279084551812	0.8308729	0.31079647	0
AL391845.1	0.000665295	0.0006936553	0.0009573304157549234	0.00062117423	0.0006357279084551812	-0.13816462	0.05930423	0
PRKCZ	0.10404867	0.1038034	0.13183807439824946	0.1044065	0.1114642932824751	0.008349799	0.039196044	0
AL590822.2	0.0025890567	0.0021061138	0.0030087527352297594	0.0033382338	0.004026276753549481	0.6401604	0.751159	0
PRKCZ-AS1	0.0040162867	0.0039614756	0.004649890590809628	0.0041018566	0.004450095359186269	0.04902292	0.041178286	0
FAAP20	0.7529389	0.76278114	0.6792943107221007	0.7377151	0.6124178851451578	-0.048198964	1.4372017	0
AL590822.1	9.441148e-05	0.00015538713	0.00013676148796498905	-5.4351403e-09	0.0	-1.3527642	0.49857455	0
SKI	0.13100006	0.13652264	0.17136214442013128	0.12242327	0.13456240728968002	-0.15714079	1.6825789	0
AL590822.3	0.010591763	0.011840886	0.01449671772428884	0.008656277	0.008688281415554142	-0.44752038	1.0470899	0
MORN1	0.017051704	0.016747717	0.02283916849015317	0.017515773	0.01991947446492901	0.06431468	0.13039069	0
AL589739.1	7.2541297e-09	1.2296368e-09	0.0	-5.4351403e-09	0.0	-9.61415e-05	44.55244	0
AL513477.2	0.005991926	0.005523674	0.006838074398249453	0.006718068	0.008264462809917356	0.27784994	0.40332106	0
RER1	0.36981297	0.389239	0.4335339168490153	0.33978808	0.33587624496715407	-0.1959672	6.8760834	0
PEX10	0.07490015	0.07559843	0.09915207877461707	0.073797494	0.08370417461326553	-0.034737974	0.15392596	0
PLCH2	6.594978e-05	1.2296368e-09	0.0	0.00016812905	0.00021190930281839374	1.4229099	0.49851817	0
AL139246.1	7.2541297e-09	1.2296368e-09	0.0	-5.4351403e-09	0.0	-9.61415e-05	44.55244	0
AL139246.4	7.2541297e-09	1.2296368e-09	0.0	-5.4351403e-09	0.0	-9.61415e-05	44.55244	0
PANK4	0.022250384	0.024073096	0.03309628008752735	0.019421447	0.023098114007204917	-0.30834228	1.2168095	0
HES5	0.0007119016	0.0005654308	0.0008205689277899343	0.0009386803	0.0010595465140919686	0.6423912	0.35053766	0
AL139246.5	0.0031850557	0.003116742	0.004513129102844639	0.0032917848	0.003602458147912693	0.07644442	0.06386925	0
TNFRSF14-AS1	4.6678128e-05	1.2296368e-09	0.0	0.000118998585	0.00021190930281839374	1.1309038	0.49855533	0
TNFRSF14	0.00028506602	1.2296368e-09	0.0	0.0007267494	0.0004238186056367875	3.0474324	0.613435	0
AL139246.3	4.65681e-05	1.2296368e-09	0.0	0.00011871129	0.00021190930281839374	1.12901	0.49849337	0
PRXL2B	0.06356448	0.06304361	0.08233041575492342	0.06435644	0.07141343504979869	0.02968776	0.11510862	0
MMEL1	0.0007007291	0.00029734444	0.00041028446389496716	0.0013256983	0.0010595465140919686	1.8432066	0.7940273	0
AL831784.1	7.2541297e-09	1.2296368e-09	0.0	-5.4351403e-09	0.0	-9.61415e-05	44.55244	0
TTC34	0.0047361385	0.0039236452	0.0053336980306345734	0.005995609	0.0065691883873702055	0.59926724	0.93778664	0
AC242022.2	7.2541297e-09	1.2296368e-09	0.0	-5.4351403e-09	0.0	-9.61415e-05	44.55244	0
AC242022.1	7.2541297e-09	1.2296368e-09	0.0	-5.4351403e-09	0.0	-9.61415e-05	44.55244	0
AL592464.2	7.2541297e-09	1.2296368e-09	0.0	-5.4351403e-09	0.0	-9.61415e-05	44.55244	0
AL592464.3	7.2541297e-09	1.2296368e-09	0.0	-5.4351403e-09	0.0	-9.61415e-05	44.55244	0
AL592464.1	7.2541297e-09	1.2296368e-09	0.0	-5.4351403e-09	0.0	-9.61415e-05	44.55244	0
AL589702.1	7.2541297e-09	1.2296368e-09	0.0	-5.4351403e-09	0.0	-9.61415e-05	44.55244	0
ACTRT2	7.3756666e-05	1.2296368e-09	0.0	0.00018804753	0.00021190930281839374	1.5262892	0.4984359	0
PRDM16-DT	0.19118975	0.17750435	0.19939824945295404	0.21241233	0.20364484000847638	0.2588797	4.942624	0
PRDM16	0.15450233	0.14749888	0.17696936542669583	0.1653408	0.1691036236490782	0.16463323	2.0166407	0
AL008733.1	7.2541297e-09	1.2296368e-09	0.0	-5.4351403e-09	0.0	-9.61415e-05	44.55244	0
AL590438.1	0.00088325696	0.0008282943	0.0009573304157549234	0.0009683165	0.0010595465140919686	0.20268494	0.092007734	0
AL354743.2	0.0005863657	0.00017820604	0.0002735229759299781	0.0012188037	0.00169527442254715	2.2450042	1.5704336	0
AL354743.1	8.723421e-05	0.00014356372	0.0002735229759299781	-5.4351403e-09	0.0	-1.2843777	0.7862671	0
ARHGEF16	0.009342224	0.010727876	0.013812910284463895	0.0071956445	0.008264462809917356	-0.5696429	1.4302534	0
AL512413.1	0.00015224813	9.977376e-05	0.00013676148796498905	0.00023360943	0.00021190930281839374	0.73979306	0.22310214	0
MEGF6	0.005200049	0.006332684	0.007932166301969365	0.003445865	0.0042381860563678745	-0.85928315	1.8340158	0
AL513320.1	0.0005580136	0.00041553512	0.0006838074398249453	0.0007787174	0.000847637211273575	0.7693286	0.37140113	0
TPRG1L	0.09471453	0.097938284	0.12404266958424508	0.089698374	0.09769018859927951	-0.12665586	0.92299867	0
WRAP73	0.05445724	0.061444588	0.07863785557986872	0.04362079	0.049586776859504134	-0.49331254	5.1442175	0
TP73	0.0005086323	0.00027880332	0.00041028446389496716	0.00086456386	0.0010595465140919686	1.3484278	0.7632338	0
AL136528.1	0.0003299627	0.00038412822	0.0005470459518599562	0.00024608264	0.00021190930281839374	-0.4842726	0.17820664	0
AL136528.2	7.2541297e-09	1.2296368e-09	0.0	-5.4351403e-09	0.0	-9.61415e-05	44.55244	0
CCDC27	0.00019668616	9.6688666e-05	0.00013676148796498905	0.0003516683	0.0004238186056367875	1.1993499	0.46642146	0
SMIM1	0.17013596	0.19100527	0.2298960612691466	0.13778271	0.1417673235855054	-0.47092596	14.344488	0
LRRC47	0.27294496	0.2931771	0.3414934354485777	0.2416791	0.25429116338207247	-0.27857482	9.417931	0
AL365330.1	0.00088649505	0.0008606022	0.0012308533916849016	0.0009264552	0.000847637211273575	0.09565972	0.0429422	0
CEP104	0.100361556	0.10475103	0.1351203501094092	0.093538985	0.10553083280356007	-0.16315977	1.4555398	0
DFFB	0.013576829	0.014343453	0.018599562363238512	0.012384717	0.0135621953803772	-0.21025245	0.4661673	0
C1orf174	0.07994236	0.080058314	0.10544310722100657	0.079742074	0.08963763509218055	-0.005702937	0.023083156	0
LINC01134	0.00086225104	0.00080831803	0.0010940919037199124	0.00094568735	0.0010595465140919686	0.20318219	0.098110706	0
LINC01346	7.2541297e-09	1.2296368e-09	0.0	-5.4351403e-09	0.0	-9.61415e-05	44.55244	0
LINC01345	7.2541297e-09	1.2296368e-09	0.0	-5.4351403e-09	0.0	-9.61415e-05	44.55244	0
LINC02780	7.2541297e-09	1.2296368e-09	0.0	-5.4351403e-09	0.0	-9.61415e-05	44.55244	0
AL805961.1	0.00011328112	0.00012695993	0.00013676148796498905	9.2097245e-05	0.00021190930281839374	-0.24060082	0.08401866	0
LINC01777	7.2541297e-09	1.2296368e-09	0.0	-5.4351403e-09	0.0	-9.61415e-05	44.55244	0
AL355602.1	7.2541297e-09	1.2296368e-09	0.0	-5.4351403e-09	0.0	-9.61415e-05	44.55244	0
Z98747.1	7.2541297e-09	1.2296368e-09	0.0	-5.4351403e-09	0.0	-9.61415e-05	44.55244	0
LINC01646	7.2541297e-09	1.2296368e-09	0.0	-5.4351403e-09	0.0	-9.61415e-05	44.55244	0
AJAP1	7.2541297e-09	1.2296368e-09	0.0	-5.4351403e-09	0.0	-9.61415e-05	44.55244	0
Z98886.1	0.00036123482	0.00020138366	0.0002735229759299781	0.00060874206	0.0006357279084551812	1.2336595	0.54135424	0
