gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	gene	CM	EC	EP	PV	SM
CHAT	P28329	True	CLAT_HUMAN	Acetylcholine_byCHAT_and_SLC5A7	CPI-CS067CF9C74	CHAT	0.0	0.0	0.0	0.0	0.0
CHAT	P28329	True	CLAT_HUMAN	Acetylcholine_byCHAT_and_SLC5A7	CPI-CC0A4E09DEF	CHAT	0.0	0.0	0.0	0.0	0.0
PTGDS	P41222	True	PTGDS_HUMAN	PGD2_byPTGDS	CPI-CS0FADCFDB9	PTGDS	0.0	0.0	0.01	0.003	0.001
CDH5	P33151	False	CADH5_HUMAN		CPI-SS00C24ED50	CDH5	0.0	0.88	0.014	0.005	0.008
CDH6	P55285	False	CADH6_HUMAN		CPI-SS0C53F7672	CDH6	0.091	0.014	0.316	0.058	0.088
CDH7	Q9ULB5	False	CADH7_HUMAN		CPI-SS0BE3D537D	CDH7	0.062	0.005	0.002	0.025	0.003
CADM1	Q9BY67	False	CADM1_HUMAN		CPI-SS0889E281D	CADM1	0.062	0.154	0.894	0.353	0.154
CD44	P16070	False	CD44_HUMAN		CPI-SS06F83AE58	CD44	0.069	0.046	0.095	0.086	0.212
CLSTN2	Q9H4D0	False	CSTN2_HUMAN		CPI-SS01A7DC3C1	CLSTN2	0.0	0.012	0.048	0.068	0.051
LRRTM2	O43300	False	LRRT2_HUMAN		CPI-SS0C0329180	LRRTM2	0.0	0.003	0.003	0.003	0.001
LRRTM3	Q86VH5	False	LRRT3_HUMAN		CPI-SS026EC3854	LRRTM3	0.0	0.025	0.001	0.018	0.008
LRRTM4	Q86VH4	False	LRRT4_HUMAN		CPI-SS0F97A06CD	LRRTM4	0.0	0.02	0.059	0.166	0.035
NLGN1	Q8N2Q7	False	NLGN1_HUMAN		CPI-SS0731F750C	NLGN1	0.0	0.024	0.263	0.156	0.07
NLGN4X	Q8N0W4	False	NLGNX_HUMAN		CPI-SS0F9118AB4	NLGN4X	0.0	0.498	0.146	0.407	0.205
NLGN4Y	Q8NFZ3	False	NLGNY_HUMAN		CPI-SS0837C7966	NLGN4Y	0.0	0.0	0.0	0.0	0.001
THBS1	P07996	False	TSP1_HUMAN		CPI-SS0C93E48D7	THBS1	0.161	0.552	0.15	0.411	0.921
APOA1	P02647	False	APOA1_HUMAN		CPI-SC0FE3CE9D1	APOA1	0.0	0.002	0.001	0.001	0.002
APOB	P04114	False	APOB_HUMAN		CPI-SC0EFFE8ACB	APOB	0.0	0.002	0.0	0.0	0.0
APOE	P02649	False	APOE_HUMAN		CPI-SC06C75F978	APOE	0.538	0.101	0.432	0.777	0.594
CLU	P10909	False	CLUS_HUMAN		CPI-SC046AFCFE9	CLU	0.065	0.023	0.424	0.039	0.029
AGT	P01019	False	ANGT_HUMAN		CPI-SS05996C8FD	AGT	0.0	0.003	0.007	0.044	0.049
APOA1	P02647	False	APOA1_HUMAN		CPI-SS015B29D3F	APOA1	0.0	0.002	0.001	0.001	0.002
BDNF	P23560	False	BDNF_HUMAN		CPI-SS0BA601DC4	BDNF	0.0	0.02	0.023	0.14	0.271
NTN4	Q9HB63	False	NET4_HUMAN		CPI-SS0E3AA6B7B	NTN4	0.0	0.018	0.329	0.082	0.177
NTF3	P20783	False	NTF3_HUMAN		CPI-SS093E05DD4	NTF3	0.0	0.004	0.004	0.026	0.075
CLSTN2	Q9H4D0	False	CSTN2_HUMAN		CPI-SS09A6C048C	CLSTN2	0.0	0.012	0.048	0.068	0.051
LRRTM2	O43300	False	LRRT2_HUMAN		CPI-SS0E5F8A5F7	LRRTM2	0.0	0.003	0.003	0.003	0.001
LRRTM3	Q86VH5	False	LRRT3_HUMAN		CPI-SS0626DF0EB	LRRTM3	0.0	0.025	0.001	0.018	0.008
LRRTM4	Q86VH4	False	LRRT4_HUMAN		CPI-SS03466C597	LRRTM4	0.0	0.02	0.059	0.166	0.035
NLGN1	Q8N2Q7	False	NLGN1_HUMAN		CPI-SS0D2DF7881	NLGN1	0.0	0.024	0.263	0.156	0.07
NLGN4X	Q8N0W4	False	NLGNX_HUMAN		CPI-SS0FA378947	NLGN4X	0.0	0.498	0.146	0.407	0.205
NLGN4Y	Q8NFZ3	False	NLGNY_HUMAN		CPI-SS0CCB5F46B	NLGN4Y	0.0	0.0	0.0	0.0	0.001
CCL22	O00626	False	CCL22_HUMAN		CPI-SS0AEC33FF1	CCL22	0.0	0.0	0.0	0.0	0.0
CXCL10	P02778	False	CXL10_HUMAN		CPI-SS0FDAB7BA8	CXCL10	0.0	0.0	0.001	0.006	0.002
CXCL12	P48061	False	SDF1_HUMAN		CPI-SS0B1B18F2D	CXCL12	0.191	0.18	0.05	0.398	0.315
CXCL2	P19875	False	CXCL2_HUMAN		CPI-SS0CDAC688B	CXCL2	0.065	0.006	0.045	0.008	0.004
CXCL12	P48061	False	SDF1_HUMAN		CPI-SS0A28DCA72	CXCL12	0.191	0.18	0.05	0.398	0.315
